Pollster,Client,Dates conducted,Sample size,Lab,Con,Lib,Others,Lead,date_year_appended,Polling Organisation / Client,end_date
Populus,The Times,2–3 Oct,1000,39%,36%,15%,10%,3%,2–3 Oct 2007,,2007-10-03
YouGov,The Daily Telegraph,26–28 Sep,2165,43%,32%,15%,10%,11%,26–28 Sep 2007,,2007-09-28
Ipsos MORI,The Observer,27–28 Sep,1000,41%,34%,16%,9%,7%,27–28 Sep 2007,,2007-09-28
Populus,The Times,26–27 Sep,1002,41%,31%,17%,10%,10%,26–27 Sep 2007,,2007-09-27
Ipsos MORI,,20–26 Sep,1964,44%,31%,15%,10%,13%,20–26 Sep 2007,,2007-09-26
YouGov,Channel 4 News,24–25 Sep,1341,44%,33%,13%,11%,11%,24–25 Sep 2007,,2007-09-25
Ipsos MORI,The Sun,20–22 Sep,1009,42%,34%,14%,10%,8%,20–22 Sep 2007,,2007-09-22
YouGov,The Daily Telegraph,19–21 Sep,2085,39%,33%,16%,12%,6%,19–21 Sep 2007,,2007-09-21
ICM,Sunday Mirror,19–20 Sep,1029,39%,33%,19%,9%,6%,19–20 Sep 2007,,2007-09-20
ICM,The Guardian,13–16 Sep,1005,40%,32%,20%,8%,8%,13–16 Sep 2007,,2007-09-16
YouGov,The Sunday Times,13–14 Sep,1942,39%,34%,15%,12%,5%,13–14 Sep 2007,,2007-09-14
ComRes[permanent dead link‍],The Independent,11–12 Sep,1005,37%,34%,15%,14%,3%,11–12 Sep 2007,,2007-09-12
Populus,The Times,31 Aug – 2 Sep,1506,37%,36%,18%,9%,1%,31 Aug – 2 Sep 2007,,2007-09-02
YouGov,GMTV,29–31 Aug,2154,38%,35%,15%,12%,3%,29–31 Aug 2007,,2007-08-31
ComRes[permanent dead link‍],The Independent,29–30 Aug,1016,35%,36%,14%,14%,1%,29–30 Aug 2007,,2007-08-30
Ipsos MORI,The Sun,23–29 Aug,1941,41%,36%,16%,7%,5%,23–29 Aug 2007,,2007-08-29
Populus,Conservative Party,25–28 Aug,530,37%,36%,16%,10%,1%,25–28 Aug 2007,,2007-08-28
YouGov,The Daily Telegraph,24–28 Aug,2266,41%,33%,14%,12%,8%,24–28 Aug 2007,,2007-08-28
ICM,The Guardian,22–23 Aug,1016,39%,34%,18%,9%,5%,22–23 Aug 2007,,2007-08-23
YouGov,The Sunday Times,9–10 Aug,1966,42%,32%,14%,12%,10%,9–10 Aug 2007,,2007-08-10
ICM,Sunday Mirror,8–10 Aug,1007,39%,33%,18%,10%,6%,8–10 Aug 2007,,2007-08-10
Ipsos MORI,The Sun,8–9 Aug,531,38%,33%,15%,14%,5%,8–9 Aug 2007,,2007-08-09
Populus,The Times,27–29 July,1511,39%,33%,15%,13%,6%,27–29 July 2007,,2007-07-29
Communicate[permanent dead link‍],The Independent,27–29 July,1006,37%,34%,16%,14%,3%,27–29 July 2007,,2007-07-29
YouGov,The Daily Telegraph,23–25 July,1877,41%,32%,16%,11%,9%,23–25 July 2007,,2007-07-25
ICM,The Guardian,20–22 July,1005,38%,32%,20%,10%,6%,20–22 July 2007,,2007-07-22
YouGov,The Sunday Times,19–20 July,1664,40%,33%,15%,12%,7%,19–20 July 2007,,2007-07-20
Ipsos MORI,The Observer,12–17 July,1919,41%,35%,15%,9%,6%,12–17 July 2007,,2007-07-17
ICM,Sunday Mirror,4–5 July,1006,37%,35%,17%,10%,2%,4–5 July 2007,,2007-07-05
Populus,The Times,1 July,1504,37%,34%,18%,11%,3%,1 July 2007,,2007-07-01
YouGov,The Daily Telegraph,28–29 June,1886,38%,35%,15%,12%,3%,28–29 June 2007,,2007-06-29
ICM,The Guardian,27–28 June,1005,39%,35%,18%,8%,4%,27–28 June 2007,,2007-06-28
,,27 June,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,Gordon Brown becomes Prime Minister of the United Kingdom,27 June 2007,,2007-06-27
Communicate[permanent dead link‍],The Independent,22–24 June,1005,32%,37%,18%,13%,5%,22–24 June 2007,,2007-06-24
Ipsos MORI,The Observer,14–20 June,1970,39%,36%,15%,10%,3%,14–20 June 2007,,2007-06-20
YouGov,The Sunday Times,14–15 June,1753,35%,37%,14%,14%,2%,14–15 June 2007,,2007-06-15
Populus,,1–3 June,1503,33%,36%,17%,14%,3%,1–3 June 2007,,2007-06-03
ICM,The Sunday Telegraph,30–31 May,1014,32%,37%,21%,10%,5%,30–31 May 2007,,2007-05-31
Communicate[permanent dead link‍],The Independent,25–28 May,1003,31%,35%,19%,15%,4%,25–28 May 2007,,2007-05-28
YouGov,The Daily Telegraph,21–23 May,2050,33%,39%,15%,13%,6%,21–23 May 2007,,2007-05-23
ICM,The Guardian,18–20 May,1003,32%,34%,21%,12%,2%,18–20 May 2007,,2007-05-20
Populus,The Times,11–13 May,1504,33%,37%,17%,13%,4%,11–13 May 2007,,2007-05-13
YouGov,The Sunday Times,10–11 May,1962,34%,38%,15%,14%,4%,10–11 May 2007,,2007-05-11
,,3 May,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,2007 United Kingdom local elections,3 May 2007,,2007-05-03
YouGov,The Daily Telegraph,23–25 Apr,2019,32%,37%,18%,14%,5%,23–25 Apr 2007,,2007-04-25
Ipsos MORI,The Observer,19–25 Apr,1163,31%,38%,20%,11%,7%,19–25 Apr 2007,,2007-04-25
ICM,The Guardian,20–22 Apr,1005,30%,37%,21%,12%,7%,20–22 Apr 2007,,2007-04-22
Populus,The Times,13–15 Apr,1503,29%,37%,20%,14%,8%,13–15 Apr 2007,,2007-04-15
YouGov,The Sunday Times,4–5 Apr,2218,31%,39%,16%,14%,8%,4–5 Apr 2007,,2007-04-05
YouGov,The Daily Telegraph,26–28 Mar,2042,32%,39%,17%,13%,7%,26–28 Mar 2007,,2007-03-28
Communicate[permanent dead link‍],,23–25 Mar,1002,31%,35%,20%,14%,4%,23–25 Mar 2007,,2007-03-25
YouGov,The Daily Telegraph,21–22 Mar,2752,31%,39%,16%,14%,8%,21–22 Mar 2007,,2007-03-22
ICM,The Guardian,16–18 Mar,1011,31%,41%,18%,10%,10%,16–18 Mar 2007,,2007-03-18
YouGov,The Sunday Times,15–16 Mar,1897,32%,38%,16%,14%,6%,15–16 Mar 2007,,2007-03-16
Ipsos MORI,,9–15 Mar,1983,33%,41%,17%,9%,8%,9–15 Mar 2007,,2007-03-15
Populus,The Times,2–4 Mar,1509,30%,38%,18%,14%,8%,2–4 Mar 2007,,2007-03-04
Communicate[permanent dead link‍],,23–25 Feb,1001,29%,40%,17%,14%,11%,23–25 Feb 2007,,2007-02-25
YouGov,The Daily Telegraph,19–21 Feb,2292,32%,37%,17%,14%,5%,19–21 Feb 2007,,2007-02-21
ICM,The Guardian,16–18 Feb,1000,31%,40%,19%,10%,9%,16–18 Feb 2007,,2007-02-18
YouGov,The Sunday Times,8–9 Feb,2019,32%,37%,18%,14%,5%,8–9 Feb 2007,,2007-02-09
Populus,The Times,2–4 Feb,1509,33%,36%,19%,12%,3%,2–4 Feb 2007,,2007-02-04
Ipsos MORI,,19–29 Jan,949,35%,39%,19%,7%,4%,19–29 Jan 2007,,2007-01-29
Communicate[permanent dead link‍],,26–28 Jan,1008,29%,34%,21%,16%,5%,26–28 Jan 2007,,2007-01-28
YouGov,The Daily Telegraph,22–24 Jan,2245,31%,38%,18%,13%,7%,22–24 Jan 2007,,2007-01-24
ICM,The Guardian,19–21 Jan,1004,31%,37%,23%,9%,6%,19–21 Jan 2007,,2007-01-21
Populus,The Times,5–7 Jan,1507,32%,39%,18%,11%,7%,5–7 Jan 2007,,2007-01-07
,,Date(s) Conducted,Sample size,,,,Others,Lead,Date(s) Conducted 2006,Polling Organisation / Client,
,,20–22 Dec,1918,32%,37%,15%,15%,5%,20–22 Dec 2006,YouGov/Sunday Times,2006-12-22
,,18–20 Dec,1874,33%,37%,17%,13%,4%,18–20 Dec 2006,YouGov/Daily Telegraph,2006-12-20
,,19–20 Dec,1009,37%,36%,14%,14%,1%,19–20 Dec 2006,Communicate,2006-12-20
,,15–17 Dec,1006,32%,40%,18%,10%,8%,15–17 Dec 2006,ICM/The Guardian,2006-12-17
,,9–12 Dec,1938,36%,37%,18%,9%,1%,9–12 Dec 2006,Ipsos MORI,2006-12-12
,,8–10 Dec,1513,33%,34%,19%,14%,1%,8–10 Dec 2006,Populus/The Times,2006-12-10
,,28–30 Nov,1979,32%,37%,16%,15%,5%,28–30 Nov 2006,YouGov/Daily Telegraph,2006-11-30
,,29–30 Nov,1006,31%,39%,20%,10%,8%,29–30 Nov 2006,ICM/News of the World,2006-11-30
,,24–26 Nov,1004,36%,34%,17%,12%,2%,24–26 Nov 2006,Communicate,2006-11-26
,,17–19 Nov,1000,32%,37%,22%,9%,5%,17–19 Nov 2006,ICM/The Guardian,2006-11-19
,,9–14 Nov,1115,33%,35%,20%,12%,2%,9–14 Nov 2006,Ipsos MORI,2006-11-14
,,3–5 Nov,1510,33%,36%,20%,11%,3%,3–5 Nov 2006,Populus/The Times,2006-11-05
,,24–26 Oct,1722,32%,39%,16%,13%,7%,24–26 Oct 2006,YouGov/Daily Telegraph,2006-10-26
,,20–22 Oct,977,32%,38%,14%,15%,6%,20–22 Oct 2006,Communicate,2006-10-22
,,20–22 Oct,1019,29%,39%,22%,9%,10%,20–22 Oct 2006,ICM/The Guardian,2006-10-22
,,12–16 Oct,1113,37%,35%,18%,10%,2%,12–16 Oct 2006,Ipsos MORI/Financial Times,2006-10-16
,,6–8 Oct,1515,35%,36%,18%,11%,1%,6–8 Oct 2006,Populus/The Times,2006-10-08
,,4–5 Oct,1005,32%,38%,20%,10%,6%,4–5 Oct 2006,ICM/Sunday Telegraph,2006-10-05
,,28–30 Sep,1029,35%,36%,19%,11%,1%,28–30 Sep 2006,ICM/Sunday Mirror,2006-09-30
,,27–29 Sep,1849,36%,36%,16%,12%,Tie,27–29 Sep 2006,YouGov/Daily Telegraph,2006-09-29
,,21–22 Sep,1546,33%,37%,18%,12%,4%,21–22 Sep 2006,YouGov/Sunday Times,2006-09-22
,,19–22 Sep,1733,31%,38%,18%,13%,7%,19–22 Sep 2006,YouGov/Daily Telegraph,2006-09-22
,,19–20 Sep,1066,32%,36%,22%,10%,4%,19–20 Sep 2006,ICM/The Guardian,2006-09-20
,,13–14 Sep,1003,33%,37%,21%,8%,4%,13–14 Sep 2006,ICM/Sunday Mirror,2006-09-14
,,13–14 Sep,1519,31%,38%,18%,14%,7%,13–14 Sep 2006,YouGov/The Sun,2006-09-14
,,6–7 Sep,1504,32%,40%,17%,11%,8%,6–7 Sep 2006,YouGov/Daily Telegraph,2006-09-07
,,31 Aug – 6 Sep,1186,36%,35%,19%,10%,1%,31 Aug – 6 Sep 2006,Ipsos MORI/Sunday Times,2006-09-06
,,1–3 Sep,1504,32%,36%,20%,13%,4%,1–3 Sep 2006,Populus/The Times,2006-09-03
,,22–24 Aug,1757,31%,38%,18%,13%,7%,22–24 Aug 2006,YouGov/Daily Telegraph,2006-08-24
,,18–20 Aug,1007,31%,40%,22%,8%,9%,18–20 Aug 2006,ICM/The Guardian,2006-08-20
,,24–26 July,1633,33%,38%,18%,11%,5%,24–26 July 2006,YouGov/Daily Telegraph,2006-07-26
,,20–24 July,1897,32%,36%,24%,8%,4%,20–24 July 2006,Ipsos MORI,2006-07-24
,,21–23 July,1001,35%,39%,17%,9%,4%,21–23 July 2006,ICM/The Guardian,2006-07-23
,,7–9 July,1512,34%,36%,19%,11%,2%,7–9 July 2006,Populus/The Times,2006-07-09
,,29 June,By-elections in Blaenau Gwent and Bromley & Chislehurst,By-elections in Blaenau Gwent and Bromley & Chislehurst,By-elections in Blaenau Gwent and Bromley & Chislehurst,By-elections in Blaenau Gwent and Bromley & Chislehurst,By-elections in Blaenau Gwent and Bromley & Chislehurst,By-elections in Blaenau Gwent and Bromley & Chislehurst,29 June 2006,By-elections in Blaenau Gwent and Bromley & Chislehurst,2006-06-29
,,28–29 June,1003,35%,36%,18%,11%,1%,28–29 June 2006,ICM/Sunday Telegraph,2006-06-29
,,26–28 June,1962,33%,39%,18%,10%,6%,26–28 June 2006,YouGov/Daily Telegraph,2006-06-28
,,22–26 June,1931,33%,36%,21%,10%,3%,22–26 June 2006,Ipsos MORI,2006-06-26
,,21–23 June,2009,32%,39%,17%,12%,7%,21–23 June 2006,YouGov/Daily Telegraph,2006-06-23
,,16–18 June,1005,32%,37%,21%,9%,5%,16–18 June 2006,ICM/The Guardian,2006-06-18
,,8–12 June,1975,34%,41%,18%,7%,7%,8–12 June 2006,Ipsos MORI/The Observer,2006-06-12
,,2–4 June,1505,34%,37%,18%,11%,3%,2–4 June 2006,Populus/The Times,2006-06-04
,,25–30 May,1984,31%,41%,18%,10%,10%,25–30 May 2006,Ipsos MORI,2006-05-30
,,23–25 May,2102,32%,38%,16%,14%,6%,23–25 May 2006,YouGov/Daily Telegraph,2006-05-25
,,19–21 May,1001,34%,38%,20%,8%,4%,19–21 May 2006,ICM/The Guardian,2006-05-21
,,8–9 May,1910,31%,37%,17%,15%,6%,8–9 May 2006,YouGov/Daily Telegraph,2006-05-09
,,5–7 May,1516,30%,38%,20%,11%,8%,5–7 May 2006,Populus/The Times,2006-05-07
,,4 May,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,2006 United Kingdom local elections,4 May 2006,2006 United Kingdom local elections,2006-05-04
,,27 Apr – 2 May,1078,32%,36%,21%,11%,4%,27 Apr – 2 May 2006,Ipsos MORI/Financial Times,2006-05-02
,,27–28 Apr,1930,32%,35%,18%,15%,3%,27–28 Apr 2006,YouGov/Sunday Times,2006-04-28
,,21–23 Apr,1006,32%,34%,24%,10%,2%,21–23 Apr 2006,ICM/The Guardian,2006-04-23
,,20–22 Apr,1006,30%,30%,25%,15%,Tie,20–22 Apr 2006,Ipsos MORI/The Sun,2006-04-22
,,18–20 Apr,2075,35%,33%,17%,15%,2%,18–20 Apr 2006,YouGov/Daily Telegraph,2006-04-20
,,31 Mar – 2 Apr,1503,36%,34%,21%,10%,2%,31 Mar – 2 Apr 2006,Populus/The Times,2006-04-02
,,27–29 Mar,1873,36%,36%,18%,10%,Tie,27–29 Mar 2006,YouGov/Daily Telegraph,2006-03-29
,,16–21 Mar,1155,39%,34%,19%,8%,5%,16–21 Mar 2006,Ipsos MORI,2006-03-21
,,16–18 Mar,1003,37%,33%,21%,9%,4%,16–18 Mar 2006,ICM/Sunday Telegraph,2006-03-18
,,16–17 Mar,1811,35%,38%,19%,8%,3%,16–17 Mar 2006,YouGov/Sunday Times,2006-03-17
,,10–12 Mar,1006,37%,34%,21%,8%,3%,10–12 Mar 2006,ICM/The Guardian,2006-03-12
,,3–5 Mar,1509,35%,35%,20%,9%,Tie,3–5 Mar 2006,Populus/The Times,2006-03-05
,,2 Mar,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,Sir Menzies Campbell becomes leader of the Liberal Democrats,2 Mar 2006,Sir Menzies Campbell becomes leader of the Liberal Democrats,2006-03-02
,,21–22 Feb,2019,36%,38%,18%,9%,2%,21–22 Feb 2006,YouGov/Daily Telegraph,2006-02-22
,,16–20 Feb,1143,38%,35%,20%,7%,3%,16–20 Feb 2006,Ipsos MORI/The Sun,2006-02-20
,,17–19 Feb,1002,34%,37%,21%,8%,3%,17–19 Feb 2006,ICM/The Guardian[permanent dead link‍],2006-02-19
,,9–10 Feb,1617,39%,37%,15%,10%,2%,9–10 Feb 2006,YouGov/Sunday Times,2006-02-10
,,9 Feb,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,Dunfermline and West Fife by-election,9 Feb 2006,Dunfermline and West Fife by-election,2006-02-09
,,3–5 Feb,1508,36%,37%,18%,9%,1%,3–5 Feb 2006,Populus/The Times,2006-02-05
,,24–26 Jan,2096,40%,39%,13%,9%,1%,24–26 Jan 2006,YouGov/Daily Telegraph,2006-01-26
,,19–23 Jan,1163,38%,40%,17%,5%,2%,19–23 Jan 2006,Ipsos MORI,2006-01-23
,,20–22 Jan,1009,36%,37%,19%,7%,1%,20–22 Jan 2006,ICM/The Guardian,2006-01-22
,,12–17 Jan,541,39%,39%,15%,7%,Tie,12–17 Jan 2006,Ipsos MORI/The Sun,2006-01-17
,,6–8 Jan,1509,39%,36%,16%,9%,3%,6–8 Jan 2006,Populus/The Times,2006-01-08
,,Date(s) Conducted,Sample size,,,,Others,Lead,Date(s) Conducted 2005,Polling Organisation / Client,
,,15–18 Dec,1004,36%,37%,21%,7%,1%,15–18 Dec 2005,ICM/The Guardian,2005-12-18
,,13–15 Dec,2071,36%,38%,18%,8%,2%,13–15 Dec 2005,YouGov/Daily Telegraph,2005-12-15
,,9–12 Dec,1000,31%,40%,20%,9%,9%,9–12 Dec 2005,MORI/The Observer,2005-12-12
,,9–11 Dec,1521,38%,35%,19%,8%,3%,9–11 Dec 2005,Populus/The Times,2005-12-11
,,6–8 Dec,2089,36%,37%,18%,8%,1%,6–8 Dec 2005,YouGov/Sunday Times,2005-12-08
,,7–8 Dec,1003,35%,37%,21%,7%,2%,7–8 Dec 2005,ICM/The Guardian,2005-12-08
,,6 Dec,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,David Cameron becomes leader of the Conservative Party,6 Dec 2005,David Cameron becomes leader of the Conservative Party,2005-12-06
,,5–6 Dec,1612,36%,36%,18%,10%,Tie,5–6 Dec 2005,YouGov/Sky News,2005-12-06
,,22–24 Nov,2616,37%,35%,20%,8%,2%,22–24 Nov 2005,YouGov/Daily Telegraph,2005-11-24
,,17–22 Nov,1089,42%,32%,19%,7%,10%,17–22 Nov 2005,MORI,2005-11-22
,,18–20 Nov,1013,38%,33%,19%,10%,5%,18–20 Nov 2005,ICM/The Guardian,2005-11-20
,,4–6 Nov,1512,40%,32%,19%,9%,8%,4–6 Nov 2005,Populus/The Times,2005-11-06
,,2–3 Nov,1010,39%,33%,21%,7%,6%,2–3 Nov 2005,ICM/Sunday Telegraph,2005-11-03
,,25–27 Oct,1947,40%,32%,19%,9%,8%,25–27 Oct 2005,YouGov/Daily Telegraph,2005-10-27
,,20–25 Oct,1904,40%,34%,21%,5%,6%,20–25 Oct 2005,MORI,2005-10-25
,,19–20 Oct,1007,36%,33%,22%,8%,3%,19–20 Oct 2005,ICM/The Guardian[permanent dead link‍],2005-10-20
,,7–9 Oct,1509,40%,30%,21%,9%,10%,7–9 Oct 2005,Populus/The Times,2005-10-09
,,5–6 Oct,1015,38%,32%,22%,8%,5%,5–6 Oct 2005,ICM/News of the World,2005-10-06
,,27–29 Sep,2183,40%,32%,20%,9%,8%,27–29 Sep 2005,YouGov/Daily Telegraph,2005-09-29
,,22–26 Sep,1132,39%,29%,25%,7%,10%,22–26 Sep 2005,MORI,2005-09-26
,,16–17 Sep,1013,40%,31%,21%,8%,9%,16–17 Sep 2005,ICM/The Guardian,2005-09-17
,,8–9 Sep,1856,37%,32%,21%,10%,5%,8–9 Sep 2005,YouGov/Sunday Times,2005-09-09
,,2–4 Sep,1506,37%,35%,20%,8%,2%,2–4 Sep 2005,Populus/The Times,2005-09-04
,,19–24 Aug,–,40%,33%,20%,7%,7%,19–24 Aug 2005,YouGov/Daily Telegraph,2005-08-24
,,11–15 Aug,1191,39%,31%,24%,6%,8%,11–15 Aug 2005,MORI,2005-08-15
,,12–14 Aug,1006,38%,31%,22%,9%,7%,12–14 Aug 2005,ICM/The Guardian,2005-08-14
,,26–28 July,–,40%,31%,21%,8%,9%,26–28 July 2005,YouGov/Daily Telegraph,2005-07-28
,,22–24 July,1506,40%,28%,22%,10%,12%,22–24 July 2005,Populus/The Times,2005-07-24
,,14–18 July,1227,41%,28%,25%,6%,13%,14–18 July 2005,MORI/The Observer,2005-07-18
,,15–17 July,1005,39%,31%,23%,7%,8%,15–17 July 2005,ICM/The Guardian,2005-07-17
,,28–30 June,3717,38%,33%,20%,9%,5%,28–30 June 2005,YouGov/Daily Telegraph,2005-06-30
,,16–20 June,1227,42%,29%,21%,8%,13%,16–20 June 2005,MORI,2005-06-20
,,17–19 June,1005,38%,31%,23%,8%,7%,17–19 June 2005,ICM/The Guardian,2005-06-19
,,24–26 May,–,38%,31%,23%,8%,7%,24–26 May 2005,YouGov/Daily Telegraph,2005-05-26
,,19–23 May,1274,37%,30%,26%,7%,7%,19–23 May 2005,MORI/Financial Times,2005-05-23
,,5 May,–,36.2%,33.2%,22.7%,7.9%,3%,5 May 2005,2005 general election,2005-05-05
