Dates conducted,Pollster/client(s),Area,Sample size,Con,Lab,Lib,SNP,Plaid Cymru,Grn,Ref,UKIP,Change UK,Others,Lead,date_year_appended,Other,end_date
3–5 Oct,BMG/The Independent,GB,1503,38%,39%,10%,4%,1%,4%,,4%,,,1,3–5 Oct 2018,0%,2018-10-05
3–5 Oct,Opinium/The Observer Archived 7 October 2018 at the Wayback Machine,GB,2007,39%,39%,7%,3%,1%,3%,,6%,,,Tie,3–5 Oct 2018,1%,2018-10-05
30 Sep – 1 Oct,YouGov/The Times,GB,1607,42%,36%,9%,4%,4%,2%,,5%,,,6,30 Sep – 1 Oct 2018,2%[d],2018-10-01
28–29 Sep,BMG/HuffPost UK,GB,1203,35%,40%,12%,4%,1%,3%,,5%,,,5,28–29 Sep 2018,1%,2018-09-29
28 Sep,Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],Adam Price is elected leader of Plaid Cymru[18],,Adam Price is elected leader of Plaid Cymru[18],,,Adam Price is elected leader of Plaid Cymru[18],28 Sep 2018,Adam Price is elected leader of Plaid Cymru[18],2018-09-28
26–28 Sep,Opinium/The Observer,GB,2008,39%,36%,9%,4%,0%,3%,,6%,,,3,26–28 Sep 2018,1%,2018-09-28
26–27 Sep,ComRes/Daily Express,GB,2036,39%,40%,9%,3%,1%,2%,,5%,,,1,26–27 Sep 2018,1%,2018-09-27
24–25 Sep,YouGov/The Times,GB,1625,42%,36%,11%,4%,4%,2%,,4%,,,6,24–25 Sep 2018,0%,2018-09-25
21–24 Sep,ICM/The Guardian,GB,2006,41%,40%,9%,3%,0%,3%,,4%,,,1,21–24 Sep 2018,0%,2018-09-24
21–22 Sep,BMG/HuffPost UK,GB,1006,38%,38%,10%,4%,0%,4%,,5%,,,Tie,21–22 Sep 2018,0%,2018-09-22
18–20 Sep,Opinium/The Observer,GB,2003,37%,39%,9%,4%,1%,2%,,8%,,,2,18–20 Sep 2018,1%,2018-09-20
18–19 Sep,YouGov/The Times,GB,2509,40%,36%,11%,5%,5%,2%,,5%,,,4,18–19 Sep 2018,1%,2018-09-19
14–18 Sep,Ipsos MORI,GB,1070,39%,37%,13%,3%,0%,5%,,2%,,,2,14–18 Sep 2018,1%,2018-09-18
12–13 Sep,YouGov/The Times,GB,1620,40%,36%,11%,4%,4%,3%,,4%,,,4,12–13 Sep 2018,1%,2018-09-13
11–13 Sep,Opinium/The Observer,GB,2011,39%,38%,7%,4%,1%,3%,,6%,,,1,11–13 Sep 2018,1%,2018-09-13
6–10 Sep,Kantar Archived 17 September 2018 at the Wayback Machine,GB,1119,40%,35%,10%,4%,0%,4%,,5%,,,5,6–10 Sep 2018,1%,2018-09-10
7–9 Sep,ICM/The Guardian,GB,2051,42%,39%,8%,3%,0%,3%,,4%,,,3,7–9 Sep 2018,0%,2018-09-09
7 Sep,Survation/Daily Mail,UK,1039,38%,37%,10%,3%,1%,1%,,4%,,,1,7 Sep 2018,5%,2018-09-07
4–7 Sep,BMG/The Independent,GB,1533,37%,38%,11%,2%,1%,4%,,7%,,,1,4–7 Sep 2018,1%,2018-09-07
4 Sep,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],,,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],4 Sep 2018,Jonathan Bartley and Siân Berry become co-leaders of the Green Party[19],2018-09-04
3–4 Sep,YouGov/The Times,GB,1883,39%,35%,11%,5%,5%,4%,,5%,,,4,3–4 Sep 2018,1%,2018-09-04
31 Aug – 1 Sep,Survation,UK,1017,37%,41%,6%,3%,1%,2%,,7%,,,4,31 Aug – 1 Sep 2018,3%,2018-09-01
28–29 Aug,YouGov/The Times,GB,1664,39%,37%,10%,4%,4%,3%,,5%,,,2,28–29 Aug 2018,2%[d],2018-08-29
20–21 Aug,YouGov/The Times,GB,1697,40%,37%,9%,5%,5%,2%,,6%,,,3,20–21 Aug 2018,2%[d],2018-08-21
17–19 Aug,ICM/The Guardian,GB,2021,40%,40%,8%,3%,0%,2%,,6%,,,Tie,17–19 Aug 2018,1%,2018-08-19
14–17 Aug,Opinium/The Observer,GB,2003,39%,38%,7%,4%,1%,3%,,7%,,,1,14–17 Aug 2018,1%,2018-08-17
14–16 Aug,Deltapoll/The Sun on Sunday,GB,1904,37%,40%,8%,3%,1%,5%,,6%,,,3,14–16 Aug 2018,1%,2018-08-16
13–14 Aug,YouGov/The Times,GB,1660,41%,38%,8%,4%,4%,3%,,6%,,,3,13–14 Aug 2018,1%,2018-08-14
9–13 Aug,Kantar Archived 28 August 2018 at the Wayback Machine,GB,1119,40%,39%,9%,4%,1%,3%,,4%,,,1,9–13 Aug 2018,1%,2018-08-13
9–13 Aug,Number Cruncher Politics,UK,1036,38%,40%,8%,4%,1%,2%,,5%,,,2,9–13 Aug 2018,1%,2018-08-13
6–10 Aug,BMG/The Independent,GB,1481,37%,39%,10%,3%,0%,5%,,5%,,,2,6–10 Aug 2018,0%,2018-08-10
8–9 Aug,YouGov/The Times,GB,1675,39%,35%,10%,5%,5%,3%,,7%,,,4,8–9 Aug 2018,1%,2018-08-09
3–5 Aug,ICM/The Guardian,GB,2049,39%,40%,7%,4%,0%,3%,,6%,,,1,3–5 Aug 2018,0%,2018-08-05
30–31 Jul,YouGov/The Times,GB,1718,38%,38%,10%,4%,4%,3%,,6%,,,Tie,30–31 Jul 2018,1%,2018-07-31
20–24 Jul,Ipsos MORI,GB,1023,38%,38%,10%,4%,1%,3%,,6%,,,Tie,20–24 Jul 2018,1%,2018-07-24
22–23 Jul,YouGov/The Times,GB,1650,38%,38%,10%,4%,4%,3%,,6%,,,Tie,22–23 Jul 2018,0%,2018-07-23
20–22 Jul,ICM/The Guardian,GB,2010,40%,41%,8%,3%,0%,3%,,5%,,,1,20–22 Jul 2018,1%,2018-07-22
19–20 Jul,YouGov/The Sunday Times,GB,1668,38%,39%,9%,5%,5%,2%,,6%,,,1,19–20 Jul 2018,1%,2018-07-20
16–17 Jul,YouGov/The Times,GB,1657,36%,41%,9%,4%,4%,2%,,7%,,,5,16–17 Jul 2018,0%,2018-07-17
12–14 Jul,Deltapoll/The Sun on Sunday,GB,1484,37%,42%,7%,3%,1%,3%,,6%,,,5,12–14 Jul 2018,1%,2018-07-14
10–13 Jul,Opinium/The Observer Archived 16 September 2019 at the Wayback Machine,GB,2005,36%,40%,8%,4%,1%,3%,,8%,,,4,10–13 Jul 2018,1%,2018-07-13
10–11 Jul,YouGov/The Times,GB,1732,37%,39%,10%,4%,4%,3%,,6%,,,2,10–11 Jul 2018,1%,2018-07-11
8–9 Jul,YouGov/The Times,GB,1669,39%,39%,9%,4%,4%,3%,,5%,,,Tie,8–9 Jul 2018,1%,2018-07-09
6–9 Jul,ICM/The Guardian,GB,2013,41%,39%,9%,3%,0%,3%,,4%,,,2,6–9 Jul 2018,1%,2018-07-09
5–9 Jul,Kantar Archived 10 July 2018 at the Wayback Machine,GB,1086,40%,38%,9%,4%,1%,3%,,3%,,,2,5–9 Jul 2018,2%,2018-07-09
7 Jul,Survation/The Mail on Sunday,UK,1007,38%,40%,10%,3%,1%,–,,–,,,2,7 Jul 2018,8%,2018-07-07
3–5 Jul,BMG/The Independent,GB,1511,39%,37%,10%,3%,1%,4%,,3%,,,2,3–5 Jul 2018,1%,2018-07-05
3–4 Jul,YouGov/The Times,GB,1641,41%,40%,9%,4%,4%,2%,,3%,,,1,3–4 Jul 2018,1%,2018-07-04
22–27 Jun,Ipsos MORI,GB,1026,41%,38%,7%,4%,1%,4%,,4%,,,3,22–27 Jun 2018,1%,2018-06-27
25–26 Jun,YouGov/The Times,GB,1645,42%,37%,9%,5%,5%,3%,,3%,,,5,25–26 Jun 2018,1%,2018-06-26
22–24 Jun,ICM/The Guardian,GB,2013,41%,40%,9%,3%,1%,3%,,3%,,,1,22–24 Jun 2018,1%,2018-06-24
19–20 Jun,Survation/Good Morning Britain,UK,1022,41%,38%,7%,4%,1%,3%,,3%,,,3,19–20 Jun 2018,3%,2018-06-20
18–19 Jun,YouGov/The Times,GB,1606,42%,40%,9%,4%,4%,2%,,3%,,,2,18–19 Jun 2018,0%,2018-06-19
14 Jun,Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],Lewisham East by-election[10],,Lewisham East by-election[10],,,Lewisham East by-election[10],14 Jun 2018,Lewisham East by-election[10],2018-06-14
11–12 Jun,YouGov/The Times,GB,1638,42%,39%,8%,4%,4%,2%,,3%,,,3,11–12 Jun 2018,1%,2018-06-12
8–10 Jun,ICM/The Guardian,GB,2021,42%,40%,8%,3%,0%,3%,,3%,,,2,8–10 Jun 2018,0%,2018-06-10
5–8 Jun,BMG/The Independent,GB,1490,38%,41%,11%,2%,0%,2%,,4%,,,3,5–8 Jun 2018,1%,2018-06-08
5–7 Jun,Opinium/The Observer,GB,2005,42%,40%,7%,6%,1%,2%,,3%,,,2,5–7 Jun 2018,1%,2018-06-07
4–5 Jun,YouGov/The Times,GB,1619,44%,37%,8%,4%,4%,3%,,3%,,,7,4–5 Jun 2018,0%,2018-06-05
31 May – 4 Jun,Survation,UK,2012,41%,40%,9%,3%,1%,2%,,2%,,,1,31 May – 4 Jun 2018,3%,2018-06-04
30 May – 1 Jun,Deltapoll/The Sun on Sunday,GB,1013,41%,41%,6%,4%,0%,2%,,5%,,,Tie,30 May – 1 Jun 2018,1%,2018-06-01
28–29 May,YouGov/The Times,GB,1670,42%,39%,9%,5%,5%,2%,,3%,,,3,28–29 May 2018,1%,2018-05-29
25–29 May,ICM/The Guardian,GB,2002,43%,40%,8%,3%,1%,2%,,3%,,,3,25–29 May 2018,1%,2018-05-29
18–22 May,Ipsos MORI,GB,1015,40%,40%,7%,5%,0%,5%,,2%,,,Tie,18–22 May 2018,0%,2018-05-22
20–21 May,YouGov/The Times,GB,1660,42%,38%,9%,4%,4%,3%,,2%,,,4,20–21 May 2018,1%,2018-05-21
16–17 May,"ComRes/We, The People",GB,2045,41%,41%,7%,3%,1%,3%,,3%,,,Tie,16–17 May 2018,1%,2018-05-17
15–16 May,Opinium/The Observer,GB,2009,43%,39%,6%,4%,1%,3%,,4%,,,4,15–16 May 2018,1%,2018-05-16
13–14 May,YouGov/The Times,GB,1634,43%,38%,9%,3%,3%,3%,,3%,,,5,13–14 May 2018,1%,2018-05-14
11–13 May,ICM/The Guardian,GB,2050,43%,40%,8%,3%,0%,3%,,3%,,,3,11–13 May 2018,1%,2018-05-13
8–10 May,Survation,UK,1585,41%,40%,8%,3%,1%,2%,,3%,,,1,8–10 May 2018,2%,2018-05-10
8–9 May,YouGov/The Times,GB,1648,43%,38%,9%,4%,4%,2%,,2%,,,5,8–9 May 2018,1%,2018-05-09
1–4 May,BMG/The Independent,GB,1441,39%,39%,10%,4%,1%,3%,,4%,,,Tie,1–4 May 2018,1%,2018-05-04
3 May,English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],English local and mayoral elections and West Tyrone by-election[20][10],,English local and mayoral elections and West Tyrone by-election[20][10],,,English local and mayoral elections and West Tyrone by-election[20][10],3 May 2018,English local and mayoral elections and West Tyrone by-election[20][10],2018-05-03
30 Apr – 1 May,YouGov/The Times,GB,1585,42%,38%,7%,4%,4%,3%,,3%,,,4,30 Apr – 1 May 2018,1%,2018-05-01
27–29 Apr,ComRes/Daily Express,GB,2030,40%,40%,9%,3%,0%,3%,,5%,,,Tie,27–29 Apr 2018,1%,2018-04-29
27–29 Apr,ICM/The Guardian,GB,2026,42%,39%,8%,3%,0%,3%,,4%,,,3,27–29 Apr 2018,1%,2018-04-29
24–25 Apr,YouGov/The Times,GB,1668,43%,38%,8%,4%,4%,3%,,3%,,,5,24–25 Apr 2018,0%,2018-04-25
20–24 Apr,Ipsos MORI,GB,1004,41%,40%,10%,3%,1%,2%,,2%,,,1,20–24 Apr 2018,1%,2018-04-24
16–17 Apr,YouGov/The Times,GB,1631,43%,38%,8%,4%,4%,3%,,3%,,,5,16–17 Apr 2018,1%,2018-04-17
14 Apr,Survation/The Mail on Sunday,UK,2060,40%,40%,9%,3%,1%,1%,,3%,,,Tie,14 Apr 2018,3%,2018-04-14
14 Apr,Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],Gerard Batten is elected leader of UKIP[21],,Gerard Batten is elected leader of UKIP[21],,,Gerard Batten is elected leader of UKIP[21],14 Apr 2018,Gerard Batten is elected leader of UKIP[21],2018-04-14
11–13 Apr,BMG,GB,1500,39%,38%,11%,4%,0%,4%,,3%,,,1,11–13 Apr 2018,1%,2018-04-13
11–12 Apr,ComRes/Sunday Express,GB,2038,40%,41%,7%,3%,1%,2%,,4%,,,1,11–12 Apr 2018,1%,2018-04-12
10–12 Apr,Opinium/The Observer,GB,2008,40%,40%,7%,4%,1%,2%,,5%,,,Tie,10–12 Apr 2018,1%,2018-04-12
9–10 Apr,YouGov/The Times,GB,1639,40%,40%,9%,4%,4%,2%,,4%,,,Tie,9–10 Apr 2018,1%,2018-04-10
6–8 Apr,ICM/The Guardian,GB,2012,42%,41%,7%,3%,0%,3%,,4%,,,1,6–8 Apr 2018,0%,2018-04-08
4–5 Apr,YouGov/The Times,GB,1662,42%,41%,7%,4%,4%,2%,,4%,,,1,4–5 Apr 2018,1%,2018-04-05
27 Mar – 5 Apr,Number Cruncher Politics,UK,1037,43%,38%,8%,4%,1%,3%,,3%,,,5,27 Mar – 5 Apr 2018,0%,2018-04-05
26–27 Mar,YouGov/The Times,GB,1659,43%,39%,8%,3%,3%,2%,,3%,,,4,26–27 Mar 2018,1%,2018-03-27
16–18 Mar,ICM/The Guardian,GB,2013,44%,41%,8%,3%,1%,2%,,1%,,,3,16–18 Mar 2018,1%,2018-03-18
13–16 Mar,BMG,GB,2065,38%,40%,10%,4%,0%,3%,,4%,,,2,13–16 Mar 2018,1%,2018-03-16
14–15 Mar,YouGov/The Times,GB,1986,42%,39%,7%,5%,5%,3%,,3%,,,3,14–15 Mar 2018,1%,2018-03-15
13–15 Mar,Opinium/The Observer,GB,2001,42%,40%,6%,4%,1%,3%,,4%,,,2,13–15 Mar 2018,0%,2018-03-15
7–8 Mar,Survation/GMB,UK,1038,37%,44%,9%,3%,0%,2%,,3%,,,7,7–8 Mar 2018,3%,2018-03-08
2–7 Mar,Ipsos MORI,GB,1012,43%,42%,6%,4%,1%,2%,,2%,,,1,2–7 Mar 2018,0%,2018-03-07
5–6 Mar,YouGov/The Times,GB,1641,41%,43%,7%,4%,4%,2%,,2%,,,2,5–6 Mar 2018,1%,2018-03-06
2–4 Mar,ICM/The Guardian,GB,2030,43%,42%,7%,3%,0%,3%,,2%,,,1,2–4 Mar 2018,0%,2018-03-04
26–27 Feb,YouGov/The Times,GB,1622,41%,42%,7%,4%,4%,2%,,3%,,,1,26–27 Feb 2018,1%,2018-02-27
19–20 Feb,YouGov/The Times,GB,1650,40%,42%,8%,4%,4%,2%,,4%,,,2,19–20 Feb 2018,0%,2018-02-20
16–19 Feb,ICM/The Guardian,GB,2027,42%,43%,7%,3%,0%,2%,,3%,,,1,16–19 Feb 2018,0%,2018-02-19
12–13 Feb,YouGov/The Times,GB,1639,40%,41%,8%,3%,3%,2%,,4%,,,1,12–13 Feb 2018,1%,2018-02-13
6–12 Feb,Kantar Archived 19 February 2018 at the Wayback Machine,GB,2448,39%,39%,8%,4%,1%,2%,,4%,,,Tie,6–12 Feb 2018,2%,2018-02-12
6–9 Feb,BMG,GB,1507,40%,40%,8%,2%,0%,4%,,5%,,,Tie,6–9 Feb 2018,1%,2018-02-09
6–8 Feb,Opinium/The Observer Archived 26 June 2019 at the Wayback Machine,GB,2002,42%,39%,7%,4%,1%,2%,,5%,,,3,6–8 Feb 2018,1%,2018-02-08
5–6 Feb,YouGov/The Times,GB,2000,43%,39%,8%,3%,3%,3%,,3%,,,4,5–6 Feb 2018,1%,2018-02-06
2–4 Feb,ICM/The Guardian,GB,2021,41%,40%,8%,3%,0%,3%,,4%,,,1,2–4 Feb 2018,1%,2018-02-04
28–29 Jan,YouGov/The Times,GB,1669,42%,42%,6%,4%,4%,3%,,2%,,,Tie,28–29 Jan 2018,1%,2018-01-29
26–29 Jan,Survation,UK,1059,40%,43%,8%,2%,0%,1%,,3%,,,3,26–29 Jan 2018,3%,2018-01-29
19–23 Jan,Ipsos MORI,GB,1031,39%,42%,9%,4%,0%,2%,,3%,,,3,19–23 Jan 2018,1%,2018-01-23
10–19 Jan,ICM/The Guardian,GB,5075,41%,41%,7%,3%,0%,3%,,4%,,,Tie,10–19 Jan 2018,0%,2018-01-19
16–17 Jan,YouGov/The Times,GB,1672,41%,42%,7%,4%,4%,2%,,3%,,,1,16–17 Jan 2018,0%,2018-01-17
12–14 Jan,ICM/The Guardian,GB,2027,40%,41%,7%,3%,1%,3%,,4%,,,1,12–14 Jan 2018,0%,2018-01-14
11–12 Jan,Opinium/The Observer Archived 26 June 2019 at the Wayback Machine,GB,2008,40%,40%,6%,4%,0%,3%,,5%,,,Tie,11–12 Jan 2018,1%,2018-01-12
9–12 Jan,BMG,GB,1513,40%,41%,8%,3%,1%,2%,,4%,,,1,9–12 Jan 2018,1%,2018-01-12
7–8 Jan,YouGov/The Times,GB,1663,40%,41%,9%,4%,4%,2%,,3%,,,1,7–8 Jan 2018,0%,2018-01-08
Dates conducted,Pollster/client(s),Area,Sample size,,,,,,,,,,,Lead,Dates conducted 2017,Other,
19–20 Dec,YouGov/The Times,GB,1610,40%,42%,7%,5%,5%,1%,,4%,,,2,19–20 Dec 2017,0%,2017-12-20
12–14 Dec,ICM/The Sun on Sunday,GB,2004,41%,42%,7%,3%,0%,3%,,4%,,,1,12–14 Dec 2017,0%,2017-12-14
12–14 Dec,Opinium/The Observer Archived 9 July 2019 at the Wayback Machine,GB,2005,39%,41%,7%,4%,1%,2%,,6%,,,2,12–14 Dec 2017,1%,2017-12-14
10–11 Dec,YouGov/The Times,GB,1680,42%,41%,7%,4%,4%,2%,,4%,,,1,10–11 Dec 2017,2%[d],2017-12-11
8–10 Dec,ICM/The Guardian,GB,2006,42%,40%,8%,3%,1%,2%,,5%,,,2,8–10 Dec 2017,0%,2017-12-10
5–8 Dec,BMG/The Independent,GB,1509,37%,40%,9%,3%,1%,3%,,5%,,,3,5–8 Dec 2017,1%,2017-12-08
4–5 Dec,YouGov/The Times,GB,1638,40%,41%,7%,4%,4%,2%,,3%,,,1,4–5 Dec 2017,2%[d],2017-12-05
30 Nov – 1 Dec,Survation/The Mail on Sunday,UK,1003,37%,45%,6%,3%,0%,1%,,4%,,,8,30 Nov – 1 Dec 2017,3%,2017-12-01
29 Nov – 1 Dec,ICM/The Sun on Sunday,GB,2050,40%,41%,8%,3%,0%,3%,,4%,,,1,29 Nov – 1 Dec 2017,0%,2017-12-01
24–28 Nov,Ipsos MORI,GB,1003,37%,39%,9%,4%,1%,4%,,4%,,,2,24–28 Nov 2017,1%,2017-11-28
24–26 Nov,ICM/The Guardian,GB,2029,41%,41%,7%,3%,0%,3%,,5%,,,Tie,24–26 Nov 2017,0%,2017-11-26
22–23 Nov,YouGov/The Times,GB,1644,39%,41%,7%,4%,4%,3%,,4%,,,2,22–23 Nov 2017,1%,2017-11-23
19–20 Nov,YouGov/The Times,GB,1677,40%,43%,7%,4%,4%,2%,,3%,,,3,19–20 Nov 2017,0%,2017-11-20
14–20 Nov,Kantar Archived 21 November 2017 at the Wayback Machine,GB,2437,42%,38%,9%,2%,0%,3%,,5%,,,4,14–20 Nov 2017,1%,2017-11-20
14–17 Nov,BMG,GB,1507,40%,41%,8%,–,–,–,,4%,,,1,14–17 Nov 2017,7%,2017-11-17
14–16 Nov,Opinium/The Observer,GB,2032,40%,42%,6%,4%,1%,2%,,5%,,,2,14–16 Nov 2017,0%,2017-11-16
10–12 Nov,ICM/The Guardian,GB,2010,41%,41%,7%,4%,0%,2%,,4%,,,Tie,10–12 Nov 2017,0%,2017-11-12
7–8 Nov,YouGov/The Times,GB,2012,40%,43%,6%,4%,4%,2%,,4%,,,3,7–8 Nov 2017,1%,2017-11-08
27 Oct – 1 Nov,Ipsos MORI,GB,1052,38%,40%,9%,4%,1%,3%,,4%,,,2,27 Oct – 1 Nov 2017,1%,2017-11-01
23–24 Oct,YouGov/The Times,GB,1637,41%,43%,7%,4%,4%,2%,,3%,,,2,23–24 Oct 2017,0%,2017-10-24
20–23 Oct,ICM/The Guardian,GB,2022,42%,42%,7%,3%,0%,2%,,3%,,,Tie,20–23 Oct 2017,0%,2017-10-23
17–20 Oct,BMG,GB,1506,37%,42%,10%,–,–,–,,4%,,,5,17–20 Oct 2017,7%,2017-10-20
18–19 Oct,YouGov/The Times,GB,1648,40%,42%,8%,4%,4%,2%,,4%,,,2,18–19 Oct 2017,1%,2017-10-19
10–11 Oct,YouGov/The Times,GB,1680,39%,42%,8%,4%,4%,2%,,4%,,,3,10–11 Oct 2017,0%,2017-10-11
6–8 Oct,ICM/The Guardian,GB,2052,41%,41%,7%,4%,1%,2%,,4%,,,Tie,6–8 Oct 2017,0%,2017-10-08
4–6 Oct,Opinium/The Observer,GB,2009,40%,42%,5%,4%,0%,2%,,5%,,,2,4–6 Oct 2017,1%,2017-10-06
4–5 Oct,Survation,UK,2047,38%,44%,7%,3%,1%,1%,,4%,,,6,4–5 Oct 2017,2%,2017-10-05
4–5 Oct,YouGov/The Times,GB,1615,40%,42%,7%,4%,4%,2%,,4%,,,2,4–5 Oct 2017,1%,2017-10-05
29 Sep,Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],Henry Bolton is elected leader of UKIP[22],,Henry Bolton is elected leader of UKIP[22],,,Henry Bolton is elected leader of UKIP[22],29 Sep 2017,Henry Bolton is elected leader of UKIP[22],2017-09-29
26–29 Sep,BMG/The Independent,GB,1910,37%,42%,10%,3%,0%,3%,,4%,,,5,26–29 Sep 2017,1%,2017-09-29
22–24 Sep,ICM/The Guardian,GB,1968,40%,42%,8%,3%,1%,2%,,4%,,,2,22–24 Sep 2017,1%,2017-09-24
22–24 Sep,YouGov/The Times,GB,1716,39%,43%,7%,4%,4%,2%,,4%,,,4,22–24 Sep 2017,0%,2017-09-24
22 Sep,Survation/The Mail on Sunday,UK,1174,38%,42%,8%,4%,1%,2%,,4%,,,4,22 Sep 2017,2%,2017-09-22
19–22 Sep,Opinium/The Observer,GB,2004,42%,40%,6%,4%,1%,2%,,4%,,,2,19–22 Sep 2017,1%,2017-09-22
15–20 Sep,Survation/LabourList,UK,1614,40%,41%,7%,3%,1%,2%,,5%,,,1,15–20 Sep 2017,1%,2017-09-20
15–18 Sep,Ipsos MORI,GB,1023,40%,44%,9%,4%,0%,1%,,2%,,,4,15–18 Sep 2017,0%,2017-09-18
12–15 Sep,BMG/The Independent,GB,1447,39%,38%,8%,3%,0%,4%,,6%,,,1,12–15 Sep 2017,1%,2017-09-15
12–15 Sep,Opinium/The Observer,GB,2009,41%,41%,5%,4%,1%,3%,,5%,,,Tie,12–15 Sep 2017,0%,2017-09-15
12–13 Sep,YouGov/The Times,GB,1660,41%,42%,7%,4%,4%,2%,,3%,,,1,12–13 Sep 2017,1%,2017-09-13
8–10 Sep,ICM/The Guardian,GB,2052,42%,42%,7%,3%,0%,3%,,4%,,,Tie,8–10 Sep 2017,0%,2017-09-10
31 Aug – 1 Sep,Survation/The Mail on Sunday,UK,1046,38%,43%,7%,3%,1%,–,,4%,,,5,31 Aug – 1 Sep 2017,3%,2017-09-01
30–31 Aug,YouGov/The Times,GB,1658,41%,42%,6%,4%,4%,2%,,4%,,,1,30–31 Aug 2017,0%,2017-08-31
25–28 Aug,ICM/The Guardian,GB,1972,42%,42%,7%,2%,0%,3%,,3%,,,Tie,25–28 Aug 2017,0%,2017-08-28
21–22 Aug,YouGov/The Times,GB,1664,41%,42%,8%,4%,4%,1%,,4%,,,1,21–22 Aug 2017,0%,2017-08-22
15–18 Aug,Opinium/The Observer,GB,2006,40%,43%,6%,4%,1%,2%,,4%,,,3,15–18 Aug 2017,1%,2017-08-18
7–11 Aug,BMG/The Independent,GB,1512,42%,39%,7%,2%,0%,3%,,6%,,,3,7–11 Aug 2017,0%,2017-08-11
31 Jul – 1 Aug,YouGov/The Times,GB,1665,41%,44%,7%,3%,3%,2%,,3%,,,3,31 Jul – 1 Aug 2017,0%,2017-08-01
20 Jul,Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],Vince Cable is elected leader of the Liberal Democrats[23],,Vince Cable is elected leader of the Liberal Democrats[23],,,Vince Cable is elected leader of the Liberal Democrats[23],20 Jul 2017,Vince Cable is elected leader of the Liberal Democrats[23],2017-07-20
18–19 Jul,YouGov/The Times,GB,1593,41%,43%,6%,4%,4%,2%,,3%,,,2,18–19 Jul 2017,0%,2017-07-19
14–18 Jul,Ipsos MORI,GB,1071,41%,42%,9%,3%,0%,2%,,3%,,,1,14–18 Jul 2017,1%,2017-07-18
14–16 Jul,ICM/The Guardian,GB,2046,42%,43%,7%,3%,1%,2%,,3%,,,1,14–16 Jul 2017,0%,2017-07-16
14–15 Jul,Survation/The Mail on Sunday,UK,1024,39%,41%,8%,3%,1%,1%,,6%,,,2,14–15 Jul 2017,1%,2017-07-15
11–14 Jul,BMG,GB,1518,37%,42%,10%,–,–,–,,4%,,,5,11–14 Jul 2017,7%,2017-07-14
11–14 Jul,Opinium/The Observer,GB,2013,41%,43%,5%,3%,0%,2%,,5%,,,2,11–14 Jul 2017,0%,2017-07-14
10–11 Jul,YouGov/The Times,GB,1700,40%,45%,7%,4%,4%,1%,,2%,,,5,10–11 Jul 2017,0%,2017-07-11
5–6 Jul,YouGov/The Times,GB,1648,38%,46%,6%,4%,4%,1%,,4%,,,8,5–6 Jul 2017,1%,2017-07-06
