Dates conducted,Pollster,Client,Area,Sample size,Con,Lab,Lib,SNP,Grn,Ref,Others,Lead,date_year_appended,end_date
20–21 Oct,YouGov,The Times,GB,1700,19%,56%,10%,4%,4%,5%,2% Plaid Cymru on 1% Other on 1%,37,20–21 Oct 2022,2022-10-21
19–21 Oct,Opinium,The Observer,UK,2023,23%,50%,9%,3%,6%,—,6%,27,19–21 Oct 2022,2022-10-21
20 Oct,PeoplePolling,GB News,GB,1237,14%,53%,11%,5%,6%,5%,5%,39,20 Oct 2022,2022-10-20
20 Oct,Omnisis Archived 15 August 2023 at the Wayback Machine,,GB,1382,22%,57%,7%,4%,4%,3%,3%,35,20 Oct 2022,2022-10-20
19–20 Oct,Techne,,UK,1632,22%,53%,11%,4%,5%,—,5%,31,19–20 Oct 2022,2022-10-20
20 Oct,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,Liz Truss announces her resignation as leader of the Conservative Party and Prime Minister,20 Oct 2022,2022-10-20
19 Oct,Redfield & Wilton,,GB,2500,19%,55%,12%,4%,4%,4%,1%,36,19 Oct 2022,2022-10-19
18–19 Oct,Survation,,UK,1252,23%,52%,11%,4%,3%,2%,5% UKIP on 1% Plaid Cymru on 1% Other on 3%,29,18–19 Oct 2022,2022-10-19
13–17 Oct,Deltapoll,,GB,1050,23%,55%,7%,4%,4%,3%,2% Plaid Cymru on 1% Other on 1%,32,13–17 Oct 2022,2022-10-17
16 Oct,Redfield & Wilton,,GB,2000,20%,56%,11%,4%,5%,2%,1%,36,16 Oct 2022,2022-10-16
14–16 Oct,Savanta ComRes,,UK,2195,22%,52%,11%,4%,2%,—,8%,30,14–16 Oct 2022,2022-10-16
13–14 Oct,Omnisis,,GB,1328,28%,49%,10%,3%,5%,2%,3% Plaid Cymru on 1% Other on 2%,21,13–14 Oct 2022,2022-10-14
13 Oct,Redfield & Wilton,,GB,1500,24%,53%,13%,4%,3%,2%,3%,29,13 Oct 2022,2022-10-13
12–13 Oct,Techne,,UK,1626,25%,49%,11%,4%,6%,—,5%,24,12–13 Oct 2022,2022-10-13
12 Oct,PeoplePolling,GB News,GB,1158,19%,53%,8%,6%,6%,4%,6% Plaid Cymru on 1% Other on 4%,34,12 Oct 2022,2022-10-12
11–12 Oct,YouGov,The Times,GB,1675,23%,51%,9%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,28,11–12 Oct 2022,2022-10-12
5–12 Oct,Ipsos,Evening Standard,GB,1001,26%,47%,10%,4%,8%,2%,3% Plaid Cymru on 0% Other on 2%,21,5–12 Oct 2022,2022-10-12
9 Oct,Redfield & Wilton,,GB,2000,25%,54%,10%,3%,4%,3%,1%,29,9 Oct 2022,2022-10-09
7–9 Oct,Savanta ComRes,,UK,2036,23%,51%,10%,4%,4%,—,8%,28,7–9 Oct 2022,2022-10-09
6–7 Oct,YouGov,The Times,GB,1737,22%,52%,9%,5%,6%,5%,3% Plaid Cymru on 1% Other on 2%,30,6–7 Oct 2022,2022-10-07
6–7 Oct,Deltapoll,,GB,1034,26%,51%,9%,4%,4%,2%,3% UKIP on 2% Plaid Cymru on 0% Other on 0%,25,6–7 Oct 2022,2022-10-07
6–7 Oct,Omnisis,,GB,1328,24%,51%,10%,3%,5%,4%,3% Plaid Cymru on 1% Other on 2%,27,6–7 Oct 2022,2022-10-07
5–7 Oct,Opinium,The Observer,UK,2023,26%,47%,11%,3%,6%,—,6%,21,5–7 Oct 2022,2022-10-07
6 Oct,PeoplePolling,GB News,GB,1512,20%,52%,8%,5%,7%,4%,4% Plaid Cymru on 1% Other on 3%,32,6 Oct 2022,2022-10-06
5–6 Oct,Techne,,UK,1636,26%,48%,10%,4%,6%,—,6%,22,5–6 Oct 2022,2022-10-06
5 Oct,Redfield & Wilton,,GB,1500,24%,52%,10%,4%,5%,3%,1%,28,5 Oct 2022,2022-10-05
2 Oct,Redfield & Wilton,,GB,2000,24%,52%,10%,5%,5%,3%,1%,28,2 Oct 2022,2022-10-02
30 Sep – 2 Oct,Savanta ComRes,,UK,2113,25%,50%,11%,3%,3%,—,8%,25,30 Sep – 2 Oct 2022,2022-10-02
29–30 Sep,Omnisis,,GB,1320,23%,55%,7%,5%,5%,3%,1% Plaid Cymru on 0% Other on 1%,32,29–30 Sep 2022,2022-09-30
28–30 Sep,Opinium,The Observer,UK,1468,27%,46%,9%,4%,6%,—,7% Plaid Cymru on 1% Other on 6%,19,28–30 Sep 2022,2022-09-30
29 Sep,Survation,,UK,1329,28%,49%,11%,5%,1%,2%,5% UKIP on 1% Plaid Cymru on 1% Other on 3%,21,29 Sep 2022,2022-09-29
28–29 Sep,PeoplePolling,GB News,GB,2216,20%,50%,9%,5%,8%,3%,4% Plaid Cymru on 0% Other on 4%,30,28–29 Sep 2022,2022-09-29
28–29 Sep,Techne,,UK,1625,27%,47%,11%,4%,6%,—,5%,20,28–29 Sep 2022,2022-09-29
28–29 Sep,YouGov,The Times,GB,1712,21%,54%,7%,5%,6%,4%,3% Plaid Cymru on 1% Other on 2%,33,28–29 Sep 2022,2022-09-29
28–29 Sep,Redfield & Wilton,,GB,2500,29%,46%,13%,3%,4%,4%,1%,17,28–29 Sep 2022,2022-09-29
27–29 Sep,BMG,,GB,1516,30%,47%,9%,4%,5%,3%,2%,17,27–29 Sep 2022,2022-09-29
27–29 Sep,Deltapoll,Daily Mirror,GB,1613,29%,48%,9%,4%,4%,2%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,19,27–29 Sep 2022,2022-09-29
23–27 Sep,FindOutNow,Channel 4,GB,10435,27%,45%,10%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,18,23–27 Sep 2022,2022-09-27
23–26 Sep,Omnisis,,GB,1307,32%,44%,10%,4%,5%,4%,1% Plaid Cymru on 1% Other on 1%,12,23–26 Sep 2022,2022-09-26
22–26 Sep,Kantar Public,,GB,1141,35%,39%,10%,5%,4%,3%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,4,22–26 Sep 2022,2022-09-26
25 Sep,Redfield & Wilton,,GB,2000,31%,44%,11%,4%,6%,2%,1%,13,25 Sep 2022,2022-09-25
23–25 Sep,Savanta ComRes,MHP,UK,2259,29%,43%,12%,5%,4%,—,8%,14,23–25 Sep 2022,2022-09-25
23–25 Sep,YouGov,The Times,GB,1730,28%,45%,9%,4%,7%,3%,3% Plaid Cymru on 1% Other on 2%,17,23–25 Sep 2022,2022-09-25
22–25 Sep,Deltapoll,,GB,2192,31%,44%,12%,4%,4%,2%,2% UKIP on 1% Plaid Cymru on 1% Other on 0%,13,22–25 Sep 2022,2022-09-25
21–23 Sep,Opinium,,UK,1491,34%,39%,10%,4%,7%,—,6% Plaid Cymru on 1% Other on 5%,5,21–23 Sep 2022,2022-09-23
21–22 Sep,YouGov,The Times,GB,1713,32%,40%,9%,5%,8%,3%,3% Plaid Cymru on 1% Other on 2%,8,21–22 Sep 2022,2022-09-22
21–22 Sep,Techne,,UK,1639,34%,41%,11%,4%,5%,—,5%,7,21–22 Sep 2022,2022-09-22
21 Sep,Redfield & Wilton,,GB,2000,32%,42%,12%,4%,5%,4%,2%,10,21 Sep 2022,2022-09-21
21 Sep,PeoplePolling,GB News,GB,1298,28%,40%,10%,6%,8%,4%,5% Plaid Cymru on 1% Other on 4%,12,21 Sep 2022,2022-09-21
16–20 Sep,Deltapoll,,GB,2084,32%,42%,10%,4%,6%,2%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,10,16–20 Sep 2022,2022-09-20
18 Sep,Redfield & Wilton,,GB,2000,34%,42%,10%,4%,5%,3%,1%,8,18 Sep 2022,2022-09-18
15–16 Sep,Savanta ComRes,Labour List,UK,6226,33%,45%,10%,?,4%,3%,5%,12,15–16 Sep 2022,2022-09-16
14–15 Sep,Techne,,UK,1647,35%,41%,10%,4%,5%,—,5%,6,14–15 Sep 2022,2022-09-15
7–15 Sep,Ipsos,,GB,1000,30%,40%,13%,5%[f],8%,1%,4%,10,7–15 Sep 2022,2022-09-15
13 Sep,PeoplePolling,GB News,GB,1245,28%,40%,10%,4%,6%,5%,6% Plaid Cymru on 2% Other on 4%,12,13 Sep 2022,2022-09-13
11–12 Sep,YouGov,The Times,GB,1727,32%,42%,10%,4%,7%,2%,2% Plaid Cymru on 1% Other on 1%,10,11–12 Sep 2022,2022-09-12
9–12 Sep,Deltapoll,,GB,1573,32%,44%,9%,4%,4%,2%,3% UKIP on 2% Plaid Cymru on 1% Other on 0%,12,9–12 Sep 2022,2022-09-12
11 Sep,Savanta ComRes,Daily Mail,UK,2272,35%,42%,10%,4%,3%,3%,5% Plaid Cymru on 1% Other on 4%,7,11 Sep 2022,2022-09-11
7–8 Sep,Techne,,UK,1628,34%,42%,11%,4%,4%,—,5%,8,7–8 Sep 2022,2022-09-08
7 Sep,PeoplePolling,GB News,GB,1162,28%,40%,9%,5%,7%,4%,6% Plaid Cymru on 1% Other on 5%,12,7 Sep 2022,2022-09-07
7 Sep,Redfield & Wilton,,GB,2000,30%,42%,14%,5%,6%,2%,2%,12,7 Sep 2022,2022-09-07
6–7 Sep,YouGov,The Times,GB,1688,29%,44%,10%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,15,6–7 Sep 2022,2022-09-07
5–6 Sep,Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],Liz Truss becomes leader of the Conservative Party and Prime Minister[17],5–6 Sep 2022,2022-09-06
4 Sep,Redfield & Wilton,,GB,2000,31%,43%,12%,5%,6%,3%,1%,12,4 Sep 2022,2022-09-04
1–2 Sep,Opinium,The Observer,UK,1516,34%,38%,12%,4%,6%,—,7% Plaid Cymru on 1% Other on 6%,4,1–2 Sep 2022,2022-09-02
1–2 Sep,Techne,,UK,1628,32%,42%,12%,4%,5%,—,5%,10,1–2 Sep 2022,2022-09-02
31 Aug – 2 Sep,Deltapoll,,GB,1573,31%,42%,10%,5%,6%,3%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,11,31 Aug – 2 Sep 2022,2022-09-02
31 Aug – 1 Sep,YouGov,The Times,GB,1711,28%,43%,11%,5%,6%,3%,4% Plaid Cymru on 1%  Other on 1%,15,31 Aug – 1 Sep 2022,2022-09-01
31 Aug,Survation[g],,UK,1013,33%,43%,11%,4%,3%,5%,5% UKIP on 1% Plaid Cymru on 1% Reclaim Party on 0% Alba Party on 0% Other on 3%,10,31 Aug 2022,2022-08-31
31 Aug,Redfield & Wilton,,GB,2000,31%,42%,12%,4%,7%,3%,2%,11,31 Aug 2022,2022-08-31
30 Aug,PeoplePolling,GB News,GB,1203,25%,42%,10%,5%,7%,4%,8% Plaid Cymru on 2% Other on 6%,17,30 Aug 2022,2022-08-30
26–30 Aug,Deltapoll,The Mirror,GB,1600,31%,44%,12%,4%,4%,2%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,13,26–30 Aug 2022,2022-08-30
28 Aug,Redfield & Wilton,,GB,2000,33%,42%,13%,3%,4%,4%,2% Plaid Cymru on 0% Other on 1%,9,28 Aug 2022,2022-08-28
24–25 Aug,Techne,,UK,1630,33%,41%,11%,4%,6%,—,5%,8,24–25 Aug 2022,2022-08-25
24–25 Aug,Redfield & Wilton,,GB,1500,33%,42%,12%,4%,5%,2%,2% Plaid Cymru on 1% Other on 1%,9,24–25 Aug 2022,2022-08-25
23–24 Aug,YouGov,The Times,GB,2007,31%,39%,11%,5%,7%,5%,3% Plaid Cymru on 1% Other on 2%,8,23–24 Aug 2022,2022-08-24
22 Aug,PeoplePolling,GB News,GB,1235,26%,40%,11%,6%,6%,5%,6% Plaid Cymru on 1% Other on 5%,14,22 Aug 2022,2022-08-22
19–22 Aug,Deltapoll,,GB,1591,31%,43%,11%,5%,6%,2%,2% Plaid Cymru on 1% Other on 1%,12,19–22 Aug 2022,2022-08-22
18–22 Aug,Kantar Public,,GB,1106,33%,40%,14%,4%,6%,2%,2% Plaid Cymru on 1% UKIP on <1% Other on 1%,7,18–22 Aug 2022,2022-08-22
21 Aug,Redfield & Wilton,,GB,2000,31%,43%,13%,5%,5%,3%,2% Plaid Cymru on 1% Other on 1%,12,21 Aug 2022,2022-08-21
18–19 Aug,Opinium,The Observer,UK,1527,31%,39%,10%,3%,7%,—,9% Plaid Cymru on 1% Other on 8%,8,18–19 Aug 2022,2022-08-19
16–18 Aug,BMG,,UK,2091,32%,42%,11%,5%,4%,3%,1% Plaid Cymru on 0% Other on 1%,10,16–18 Aug 2022,2022-08-18
16–17 Aug,YouGov,The Times,GB,1696,28%,43%,11%,5%,7%,4%,3% Plaid Cymru on 1% Other on 2%,15,16–17 Aug 2022,2022-08-17
14 Aug,Redfield & Wilton,,GB,2000,34%,41%,12%,4%,5%,3%,2% Plaid Cymru on 1% Other on 1%,7,14 Aug 2022,2022-08-14
10–12 Aug,Techne,,UK,1641,35%,39%,12%,4%,5%,—,5%,4,10–12 Aug 2022,2022-08-12
9–10 Aug,YouGov,The Times,GB,1809,30%,39%,12%,5%,6%,4%,3% Plaid Cymru on 1% Other on 2%,9,9–10 Aug 2022,2022-08-10
8 Aug,Redfield & Wilton,,GB,2000,35%,40%,12%,4%,5%,3%,2% Plaid Cymru on 1% Other on 1%,5,8 Aug 2022,2022-08-08
3–8 Aug,Opinium,The Observer,GB,2010,34%,37%,12%,4%,6%,—,8% Plaid Cymru on 1% Other on 7%,3,3–8 Aug 2022,2022-08-08
4–5 Aug,YouGov,The Times,GB,1968,33%,37%,11%,5%,8%,3%,3% Plaid Cymru on 1% Other on 2%,4,4–5 Aug 2022,2022-08-05
4 Aug,Redfield & Wilton,,GB,1500,32%,40%,13%,4%,4%,4%,3% Plaid Cymru on 1% Other on 2%,8,4 Aug 2022,2022-08-04
3–4 Aug,Techne,,UK,1630,34%,39%,13%,4%,5%,—,5%,5,3–4 Aug 2022,2022-08-04
28 Jul – 1 Aug,Kantar Public,,GB,1096,32%,36%,13%,6%,8%,4%,2% Plaid Cymru on <1% UKIP on 1% Other on 1%,4,28 Jul – 1 Aug 2022,2022-08-01
31 Jul,Redfield & Wilton,,GB,2000,34%,38%,11%,4%,7%,4%,1% Plaid Cymru on 0% Other on 1%,4,31 Jul 2022,2022-07-31
27–28 Jul,YouGov,The Times,GB,1797,34%,35%,13%,5%,7%,3%,2% Plaid Cymru on 1% Other on 1%,1,27–28 Jul 2022,2022-07-28
27–28 Jul,Techne,,UK,1645,33%,40%,12%,4%,6%,—,5%,7,27–28 Jul 2022,2022-07-28
27 Jul,Redfield & Wilton,,GB,1500,33%,41%,11%,4%,5%,4%,2%,8,27 Jul 2022,2022-07-27
21–27 Jul,Ipsos,Evening Standard,GB,1052,30%,44%,10%,5%,8%,1%,2% UKIP on 1% Plaid Cymru on 0% Other on 1%,14,21–27 Jul 2022,2022-07-27
24 Jul,Redfield & Wilton,,GB,2000,34%,40%,12%,4%,5%,3%,2% Plaid Cymru on 0% Other on 2%,6,24 Jul 2022,2022-07-24
22–24 Jul,Savanta ComRes,The Independent,UK,2272,29%,42%,12%,3%,4%,4%,5%,13,22–24 Jul 2022,2022-07-24
21–23 Jul,Deltapoll,Mail on Sunday,GB,1588,31%,42%,10%,4%,6%,3%,5% UKIP on 3% Plaid Cymru on 1% Other on 1%,11,21–23 Jul 2022,2022-07-23
21–22 Jul,YouGov,The Times,GB,1692,32%,39%,12%,4%,8%,4%,3% Plaid Cymru on 1% Other on 2%,7,21–22 Jul 2022,2022-07-22
21–22 Jul,Opinium,The Observer,GB,2001,34%,37%,13%,3%,7%,—,7% Plaid Cymru on 1% Other on 6%,3,21–22 Jul 2022,2022-07-22
21 Jul,Techne,,UK,1645,32%,41%,12%,4%,6%,—,5%,9,21 Jul 2022,2022-07-21
21 Jul,Savanta ComRes,Daily Express,UK,2109,33%,44%,9%,3%,3%,3%,5% Plaid Cymru on 0% Other on 5%,11,21 Jul 2022,2022-07-21
20–21 Jul,Redfield & Wilton,,GB,1500,35%,44%,9%,3%,5%,3%,1%,9,20–21 Jul 2022,2022-07-21
14–18 Jul,Kantar Public,,GB,1077,33%,37%,13%,4%,7%,4%,3% Plaid Cymru on 1% UKIP on 1% Other on <1%,4,14–18 Jul 2022,2022-07-18
17 Jul,Redfield & Wilton,,GB,2000,32%,42%,12%,4%,5%,3%,2% Plaid Cymru on 0% Other on 2%,10,17 Jul 2022,2022-07-17
15–17 Jul,Savanta ComRes,,UK,1980,30%,43%,11%,4%,4%,3%,5% Plaid Cymru on 1% Other on 4%,13,15–17 Jul 2022,2022-07-17
14 Jul,Techne,,UK,1645,31%,40%,13%,4%,6%,—,6%,9,14 Jul 2022,2022-07-14
13–14 Jul,YouGov,The Times,GB,1733,29%,40%,13%,4%,7%,4%,3% Plaid Cymru on 1% Other on 2%,11,13–14 Jul 2022,2022-07-14
12–14 Jul,JL Partners,The Sunday Telegraph,GB,4434,31%,42%,12%,4%,6%,3%,3% Plaid Cymru on 1% UKIP on 1% Other on 1%,11,12–14 Jul 2022,2022-07-14
11–12 Jul,Omnisis,The Byline Times,UK,1002,25%,46%,8%,5%,8%,5%,3% Plaid Cymru on 1% Other on 2%,21,11–12 Jul 2022,2022-07-12
10 Jul,Redfield & Wilton,,GB,2000,31%,42%,12%,4%,5%,5%,1% Plaid Cymru on 0% Other on 1%,11,10 Jul 2022,2022-07-10
8–10 Jul,Savanta ComRes Archived 12 July 2022 at the Wayback Machine[18],,UK,2168,28%,43%,12%,4%,4%,3%,6% Plaid Cymru on 1% Other on 5%,15,8–10 Jul 2022,2022-07-10
6–8 Jul,Opinium,The Observer,GB,2000,33%,38%,12%,3%,6%,—,8% Plaid Cymru on 1% Other on 7%,5,6–8 Jul 2022,2022-07-08
7 Jul,Techne,,UK,1644,29%,41%,14%,4%,6%,—,6%,12,7 Jul 2022,2022-07-07
7 Jul,Redfield & Wilton,,GB,1500,31%,43%,12%,3%,7%,2%,3%,12,7 Jul 2022,2022-07-07
6–7 Jul,YouGov,The Times,GB,1687,29%,40%,15%,5%,6%,3%,3% Plaid Cymru on 1% Other on 2%,11,6–7 Jul 2022,2022-07-07
7 Jul,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,Boris Johnson announces his resignation as leader of the Conservative Party and Prime Minister,7 Jul 2022,2022-07-07
3 Jul,Redfield & Wilton,,GB,2000,35%,41%,11%,3%,5%,5%,1% Plaid Cymru on 0% Other on 1%,6,3 Jul 2022,2022-07-03
1–3 Jul,Savanta ComRes,,UK,2106,32%,41%,11%,4%,3%,4%,6% Plaid Cymru on 1% Other on 5%,9,1–3 Jul 2022,2022-07-03
29 Jun – 1 Jul,Omnisis,The Byline Times,UK,1015,27%,47%,9%,4%,6%,4%,3% Plaid Cymru on 1% Other on 2%,20,29 Jun – 1 Jul 2022,2022-07-01
28 Jun – 1 Jul,BMG,The Independent,UK,1521,32%,42%,11%,4%,4%,4%,3% Plaid Cymru on 1% Other on 2%,10,28 Jun – 1 Jul 2022,2022-07-01
29–30 Jun,Techne,,UK,1632,33%,39%,13%,4%,5%,—,6%,6,29–30 Jun 2022,2022-06-30
29–30 Jun,Redfield & Wilton,,GB,1500,32%,40%,13%,5%,5%,3%,1% Plaid Cymru on 0% Other on 1%,8,29–30 Jun 2022,2022-06-30
28–29 Jun,YouGov,The Times,GB,1671,33%,36%,13%,5%,6%,3%,3% Plaid Cymru on 1% Other on 2%,3,28–29 Jun 2022,2022-06-29
22–29 Jun,Ipsos,,GB,1059,30%,41%,15%,5%,6%,1%,2% UKIP on 0% Plaid Cymru on 1% Other on 1%,11,22–29 Jun 2022,2022-06-29
27 Jun,Survation,,UK,1017,35%,43%,11%,3%,2%,—,5%,8,27 Jun 2022,2022-06-27
26 Jun,Redfield & Wilton,,GB,2000,33%,41%,15%,4%,4%,3%,1% Plaid Cymru on 0% Other on 1%,8,26 Jun 2022,2022-06-26
24–26 Jun,Savanta ComRes,The Independent,UK,2217,34%,41%,10%,5%,5%,1%,5% Plaid Cymru on 0% Other on 4%,7,24–26 Jun 2022,2022-06-26
22–24 Jun,Opinium,The Observer,GB,2000,34%,37%,11%,4%,6%,—,8% Plaid Cymru on 1% Other on 7%,3,22–24 Jun 2022,2022-06-24
23 Jun,By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],By-elections in Tiverton and Honiton and Wakefield[19][20],23 Jun 2022,2022-06-23
22–23 Jun,YouGov,The Times,GB,1671,34%,39%,9%,4%,8%,4%,3% Plaid Cymru on 1% Other on 2%,5,22–23 Jun 2022,2022-06-23
22–23 Jun,Techne,,UK,1630,32%,38%,14%,4%,6%,—,6%,6,22–23 Jun 2022,2022-06-23
22 Jun,Redfield & Wilton,,GB,2000,32%,41%,13%,4%,5%,4%,2% Plaid Cymru on 0% Other on 2%,9,22 Jun 2022,2022-06-22
16–20 Jun,Kantar Public,,GB,1141,34%,36%,13%,4%,5%,4%,4% UKIP on 2% Plaid Cymru on 1% Other on 1%,2,16–20 Jun 2022,2022-06-20
19 Jun,Redfield & Wilton,,GB,2000,33%,40%,13%,4%,5%,5%,1% Plaid Cymru on 0% Other on 1%,7,19 Jun 2022,2022-06-19
17–19 Jun,Savanta ComRes,,UK,2050,31%,42%,10%,4%,5%,3%,4% Plaid Cymru on 1% Other on 3%,11,17–19 Jun 2022,2022-06-19
15–16 Jun,Techne,,UK,1612,33%,39%,13%,4%,5%,—,6%,6,15–16 Jun 2022,2022-06-16
15–16 Jun,YouGov,The Times,GB,1727,33%,39%,10%,4%,6%,4%,4% Plaid Cymru on 1% Other on 1%,6,15–16 Jun 2022,2022-06-16
15 Jun,Redfield & Wilton,,GB,2000,34%,42%,12%,3%,4%,3%,1% Plaid Cymru on 0% Other on 1%,8,15 Jun 2022,2022-06-15
12 Jun,Redfield & Wilton,,GB,2000,32%,39%,15%,5%,6%,2%,3% Plaid Cymru on 1% Other on 2%,7,12 Jun 2022,2022-06-12
10–12 Jun,Savanta ComRes Archived 24 June 2022 at the Wayback Machine[21],,UK,2237,34%,40%,10%,4%,4%,2%,6% Plaid Cymru on 1% Other on 5%,6,10–12 Jun 2022,2022-06-12
10 Jun,Survation,,UK,2053,34%,41%,10%,4%,3%,—,7%,7,10 Jun 2022,2022-06-10
10 Jun,Techne,,UK,1632,33%,39%,12%,4%,6%,—,6%,6,10 Jun 2022,2022-06-10
8–10 Jun,Opinium,The Observer,GB,2002,34%,36%,13%,3%,6%,—,8% Plaid Cymru on 1% Other on 7%,2,8–10 Jun 2022,2022-06-10
8–9 Jun,YouGov,The Times,GB,1727,32%,39%,11%,5%,7%,3%,3% Plaid Cymru on 1% Other on 2%,7,8–9 Jun 2022,2022-06-09
8–9 Jun,Redfield & Wilton,,GB,2000,32%,40%,13%,4%,5%,4%,2% Plaid Cymru on 0% Other on 2%,8,8–9 Jun 2022,2022-06-09
5 Jun,Redfield & Wilton,,GB,2000,34%,38%,11%,4%,7%,4%,3% Plaid Cymru on 1% Other on 2%,4,5 Jun 2022,2022-06-05
1–3 Jun,YouGov,The Times,GB,2000,32%,36%,12%,5%,8%,4%,2% Plaid Cymru on 1% Other on 1%,4,1–3 Jun 2022,2022-06-03
1 Jun,Redfield & Wilton,,GB,2000,33%,39%,12%,4%,6%,4%,1%,6,1 Jun 2022,2022-06-01
31 May – 1 Jun,Techne,,UK,1632,32%,40%,12%,4%,6%,—,6%,8,31 May – 1 Jun 2022,2022-06-01
30–31 May,Omnisis,The Byline Times,UK,1026,25%,48%,9%,4%,6%,5%,4% Plaid Cymru on 1% Other on 3%,23,30–31 May 2022,2022-05-31
29 May,Redfield & Wilton,,GB,2000,36%,43%,10%,3%,5%,3%,2%,7,29 May 2022,2022-05-29
27–29 May,Savanta ComRes Archived 31 May 2022 at the Wayback Machine[22],,UK,2177,31%,42%,11%,4%,3%,3%,5% Plaid Cymru on 1% Other on 4%,11,27–29 May 2022,2022-05-29
25–27 May,Opinium,The Observer,GB,2000,33%,36%,11%,4%,8%,—,9% Plaid Cymru on 1% Other on 8%,3,25–27 May 2022,2022-05-27
25–26 May,Omnisis,The Byline Times,UK,1026,29%,44%,8%,4%,5%,5%,4% Plaid Cymru on 1% Other on 3%,15,25–26 May 2022,2022-05-26
25–26 May,Techne,,UK,1629,33%,40%,11%,4%,6%,—,6%,7,25–26 May 2022,2022-05-26
25 May,Redfield & Wilton,,GB,1500,31%,40%,14%,4%,5%,3%,2%,9,25 May 2022,2022-05-25
24–25 May,YouGov,The Times,GB,1755,31%,39%,12%,4%,7%,4%,3% Plaid Cymru on 1% Other on 2%,8,24–25 May 2022,2022-05-25
19–23 May,Kantar Public,,GB,1087,32%,38%,13%,3%,8%,3%,3% UKIP on 1% Plaid Cymru on 1% Other on 1%,6,19–23 May 2022,2022-05-23
22 May,Redfield & Wilton,,GB,2000,33%,39%,12%,4%,5%,4%,2% Plaid Cymru on 1% Other on 1%,6,22 May 2022,2022-05-22
18–19 May,Savanta ComRes,Daily Mail,UK,2021,34%,40%,10%,4%,4%,2%,6% Plaid Cymru on 1% Other on 5%,6,18–19 May 2022,2022-05-19
18–19 May,Techne,,UK,1635,35%,39%,10%,4%,6%,—,6%,4,18–19 May 2022,2022-05-19
18–19 May,YouGov,The Times,GB,1692,31%,39%,12%,5%,7%,4%,2% Plaid Cymru on 1% Other on 1%,8,18–19 May 2022,2022-05-19
18 May,Redfield & Wilton,,GB,1500,33%,39%,12%,4%,4%,5%,3% Plaid Cymru on 1% Other on 2%,6,18 May 2022,2022-05-18
