Dates conducted,Polling organisation/client,Sample size,Con,Lab,Lib,UKIP,Grn,Others,Lead,date_year_appended,end_date
4–5 Apr,YouGov/Sunday Times,1991,30%,40%,11%,13%,2%,4%,10%,4–5 Apr 2013,2013-04-05
3–4 Apr,YouGov/The Sun,2013,30%,42%,11%,12%,2%,4%,12%,3–4 Apr 2013,2013-04-04
2–4 Apr,Opinium/The Observer,1948,28%,38%,8%,17%,3%,6%,10%,2–4 Apr 2013,2013-04-04
2–3 Apr,YouGov/The Sun,1994,33%,41%,9%,11%,2%,4%,8%,2–3 Apr 2013,2013-04-03
1–2 Apr,YouGov/The Sun,1757,30%,43%,11%,10%,3%,3%,13%,1–2 Apr 2013,2013-04-02
27–28 Mar,YouGov/The Sun,1918,29%,42%,11%,13%,2%,3%,13%,27–28 Mar 2013,2013-03-28
26–27 Mar,YouGov/The Sun,1867,30%,40%,12%,13%,2%,3%,10%,26–27 Mar 2013,2013-03-27
25–26 Mar,YouGov/The Sun,2047,30%,39%,13%,12%,2%,3%,9%,25–26 Mar 2013,2013-03-26
24–25 Mar,YouGov/The Sun,1655,30%,41%,13%,11%,2%,4%,11%,24–25 Mar 2013,2013-03-25
21–25 Mar,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1204,27%,37%,10%,17%,3%,7%,10%,21–25 Mar 2013,2013-03-25
22–24 Mar,ComRes/Independent[permanent dead link‍],1003,28%,38%,12%,14%,3%,5%,10%,22–24 Mar 2013,2013-03-24
21–22 Mar,YouGov/Sunday Times,1937,30%,41%,12%,12%,2%,3%,11%,21–22 Mar 2013,2013-03-22
20–21 Mar,YouGov/The Sun,1925,32%,41%,11%,10%,2%,4%,9%,20–21 Mar 2013,2013-03-21
19–21 Mar,Opinium/The Observer,1958,28%,38%,9%,16%,2%,7%,10%,19–21 Mar 2013,2013-03-21
19–20 Mar,YouGov/The Sun,1942,30%,41%,11%,12%,1%,5%,11%,19–20 Mar 2013,2013-03-20
18–19 Mar,YouGov/The Sun,1920,31%,41%,11%,11%,2%,4%,10%,18–19 Mar 2013,2013-03-19
17–18 Mar,YouGov/The Sun,1779,32%,40%,11%,10%,2%,4%,8%,17–18 Mar 2013,2013-03-18
14–18 Mar,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1205,26%,39%,13%,13%,2%,6%,13%,14–18 Mar 2013,2013-03-18
14–15 Mar,YouGov/Sunday Times,1918,29%,41%,12%,12%,2%,4%,12%,14–15 Mar 2013,2013-03-15
13–14 Mar,ComRes/Sunday Mirror/Independent[permanent dead link‍],2015,28%,37%,9%,17%,4%,5%,9%,13–14 Mar 2013,2013-03-14
13–14 Mar,YouGov/The Sun,1962,30%,42%,11%,11%,2%,5%,12%,13–14 Mar 2013,2013-03-14
12–13 Mar,YouGov/The Sun,1871,31%,40%,11%,12%,3%,4%,9%,12–13 Mar 2013,2013-03-13
11–12 Mar,YouGov/The Sun,1969,29%,43%,11%,12%,1%,4%,14%,11–12 Mar 2013,2013-03-12
10–11 Mar,YouGov/The Sun,1684,32%,40%,11%,11%,1%,5%,8%,10–11 Mar 2013,2013-03-11
9–11 Mar,Ipsos MORI/Evening Standard,1009,27%,40%,11%,13%,4%,5%,13%,9–11 Mar 2013,2013-03-11
7–11 Mar,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1191,25%,38%,11%,15%,3%,7%,13%,7–11 Mar 2013,2013-03-11
8–10 Mar,ICM/The Guardian,1002,31%,39%,15%,7%,2%,6%,8%,8–10 Mar 2013,2013-03-10
7–8 Mar,YouGov/Sunday Times,1525,31%,41%,12%,11%,1%,4%,10%,7–8 Mar 2013,2013-03-08
6–7 Mar,YouGov/The Sun,1865,32%,41%,11%,11%,2%,4%,9%,6–7 Mar 2013,2013-03-07
5–7 Mar,Opinium/The Observer,1950,27%,39%,8%,17%,3%,6%,12%,5–7 Mar 2013,2013-03-07
5–6 Mar,YouGov/The Sun,1964,31%,41%,11%,12%,2%,4%,10%,5–6 Mar 2013,2013-03-06
4–5 Mar,YouGov/The Sun,1906,29%,42%,11%,12%,2%,4%,13%,4–5 Mar 2013,2013-03-05
3–4 Mar,YouGov/The Sun,1727,31%,40%,12%,12%,1%,5%,9%,3–4 Mar 2013,2013-03-04
28 Feb–4 Mar,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1194,29%,38%,11%,14%,3%,6%,9%,28 Feb–4 Mar 2013,2013-03-04
28 Feb–1 Mar,YouGov/Sunday Times,1897,31%,42%,10%,11%,2%,3%,11%,28 Feb–1 Mar 2013,2013-03-01
28 Feb,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,2013 Eastleigh by-election,28 Feb 2013,2013-02-28
27–28 Feb,YouGov/The Sun,1761,29%,42%,12%,11%,2%,4%,13%,27–28 Feb 2013,2013-02-28
26–27 Feb,YouGov/The Sun,1966,32%,43%,11%,8%,1%,5%,11%,26–27 Feb 2013,2013-02-27
25–26 Feb,YouGov/The Sun,1925,32%,42%,12%,9%,1%,5%,10%,25–26 Feb 2013,2013-02-26
24–25 Feb,YouGov/The Sun,1704,32%,44%,10%,8%,2%,4%,12%,24–25 Feb 2013,2013-02-25
22–24 Feb,YouGov/The Sunday Times,1964,32%,43%,11%,9%,2%,3%,11%,22–24 Feb 2013,2013-02-24
22–24 Feb,ComRes/Independent,1005,31%,43%,8%,9%,4%,5%,12%,22–24 Feb 2013,2013-02-24
20–21 Feb,YouGov/The Sun,1920,31%,45%,11%,9%,2%,2%,14%,20–21 Feb 2013,2013-02-21
19–21 Feb,Opinium/The Observer,1956,29%,41%,8%,13%,2%,7%,12%,19–21 Feb 2013,2013-02-21
19–20 Feb,YouGov/The Sun,1968,33%,43%,9%,10%,2%,3%,10%,19–20 Feb 2013,2013-02-20
18–19 Feb,YouGov/The Sun,1855,29%,44%,11%,11%,1%,4%,15%,18–19 Feb 2013,2013-02-19
17–18 Feb,YouGov/The Sun,1713,32%,41%,12%,8%,2%,4%,9%,17–18 Feb 2013,2013-02-18
14–18 Feb,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1211,29%,38%,11%,12%,3%,7%,9%,14–18 Feb 2013,2013-02-18
14–15 Feb,YouGov/Sunday Times,1871,32%,43%,12%,9%,1%,3%,11%,14–15 Feb 2013,2013-02-15
13–14 Feb,ComRes/Sunday Mirror/Independent[permanent dead link‍],2002,31%,36%,8%,14%,4%,6%,5%,13–14 Feb 2013,2013-02-14
13–14 Feb,YouGov/The Sun,1892,31%,42%,11%,10%,2%,3%,11%,13–14 Feb 2013,2013-02-14
12–13 Feb,YouGov/The Sun,1946,32%,42%,9%,9%,3%,4%,10%,12–13 Feb 2013,2013-02-13
11–12 Feb,YouGov/The Sun,1902,32%,43%,10%,9%,2%,4%,11%,11–12 Feb 2013,2013-02-12
10–11 Feb,YouGov/The Sun,1691,31%,42%,11%,9%,2%,5%,11%,10–11 Feb 2013,2013-02-11
9–11 Feb,Ipsos MORI/Evening Standard,1018,30%,42%,7%,9%,4%,8%,12%,9–11 Feb 2013,2013-02-11
7–11 Feb,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1197,31%,41%,10%,10%,3%,5%,10%,7–11 Feb 2013,2013-02-11
8–10 Feb,ICM/The Guardian,1001,29%,41%,13%,9%,2%,6%,12%,8–10 Feb 2013,2013-02-10
7–8 Feb,YouGov/Sunday Times,1930,32%,41%,11%,9%,2%,5%,9%,7–8 Feb 2013,2013-02-08
6–7 Feb,YouGov/The Sun,1917,33%,41%,11%,9%,2%,4%,8%,6–7 Feb 2013,2013-02-07
5–7 Feb,Opinium/The Observer,1953,29%,39%,8%,14%,4%,5%,10%,5–7 Feb 2013,2013-02-07
5–6 Feb,YouGov/The Sun,1955,31%,42%,12%,9%,1%,4%,11%,5–6 Feb 2013,2013-02-06
4–5 Feb,YouGov/The Sun,1962,32%,42%,11%,8%,2%,5%,10%,4–5 Feb 2013,2013-02-05
3–4 Feb,YouGov/The Sun,1712,30%,45%,11%,9%,2%,3%,15%,3–4 Feb 2013,2013-02-04
31 Jan–4 Feb,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1199,28%,41%,10%,11%,3%,7%,13%,31 Jan–4 Feb 2013,2013-02-04
31 Jan–1 Feb,YouGov/Sunday Times,2030,34%,41%,12%,8%,1%,4%,7%,31 Jan–1 Feb 2013,2013-02-01
30–31 Jan,YouGov/The Sun,1914,32%,44%,10%,8%,2%,3%,12%,30–31 Jan 2013,2013-01-31
29–30 Jan,YouGov/The Sun,1939,33%,42%,10%,7%,2%,5%,9%,29–30 Jan 2013,2013-01-30
28–29 Jan,YouGov/The Sun,1971,33%,42%,11%,8%,2%,4%,9%,28–29 Jan 2013,2013-01-29
27–28 Jan,YouGov/The Sun,1727,35%,41%,10%,9%,2%,3%,6%,27–28 Jan 2013,2013-01-28
25–27 Jan,ComRes/Independent[permanent dead link‍],1002,32%,39%,10%,10%,5%,4%,7%,25–27 Jan 2013,2013-01-27
25 Jan,Survation/Mail on Sunday,1005,31%,38%,10%,14%,2%,5%,7%,25 Jan 2013,2013-01-25
24–25 Jan,YouGov/Sunday Times,1943,35%,41%,12%,7%,1%,4%,6%,24–25 Jan 2013,2013-01-25
24–25 Jan,Angus Reid Public Opinion[usurped],2004,30%,39%,10%,12%,3%,6%,9%,24–25 Jan 2013,2013-01-25
23–25 Jan,ComRes/Sunday Mirror/Independent,2035,33%,39%,11%,10%,2%,5%,6%,23–25 Jan 2013,2013-01-25
23–24 Jan,YouGov/The Sun,1843,33%,43%,10%,9%,2%,3%,10%,23–24 Jan 2013,2013-01-24
22–24 Jan,Opinium/The Observer,1949,28%,41%,8%,14%,3%,6%,13%,22–24 Jan 2013,2013-01-24
22–24 Jan,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1237,31%,41%,8%,12%,3%,6%,10%,22–24 Jan 2013,2013-01-24
22–23 Jan,YouGov/The Sun,2045,31%,43%,11%,10%,2%,"3% BNP on 1%||style=""background:#DC241F; color:white;""|12%",,22–23 Jan 2013,2013-01-23
21–22 Jan,YouGov/The Sun,2119,31%,41%,12%,10%,2%,"3% BNP on 1%||style=""background:#DC241F; color:white;""|10%",,21–22 Jan 2013,2013-01-22
20–21 Jan,YouGov/The Sun,1675,33%,42%,10%,10%,2%,"2% BNP on 0%||style=""background:#DC241F; color:white;""|9%",,20–21 Jan 2013,2013-01-21
18–20 Jan,ICM/The Guardian,1001,33%,38%,15%,6%,2%,5%,5%,18–20 Jan 2013,2013-01-20
17–18 Jan,YouGov/Sunday Times,1912,33%,42%,11%,7%,2%,5%,9%,17–18 Jan 2013,2013-01-18
16–17 Jan,YouGov/The Sun,1887,34%,44%,9%,8%,2%,"3% BNP on 1%||style=""background:#DC241F; color:white;""|10%",,16–17 Jan 2013,2013-01-17
15–16 Jan,YouGov/The Sun,1880,33%,42%,12%,8%,2%,"3% BNP on 0%||style=""background:#DC241F; color:white;""|9%",,15–16 Jan 2013,2013-01-16
14–15 Jan,YouGov/The Sun,2007,32%,44%,10%,9%,2%,"3% BNP on 0%||style=""background:#DC241F; color:white;""|12%",,14–15 Jan 2013,2013-01-15
13–14 Jan,YouGov/The Sun,1714,31%,44%,11%,9%,2%,"3% BNP on 0%||style=""background:#DC241F; color:white;""|13%",,13–14 Jan 2013,2013-01-14
12–14 Jan,Ipsos MORI/Evening Standard,1015,30%,43%,8%,9%,3%,8%,13%,12–14 Jan 2013,2013-01-14
11–14 Jan,TNS BMRB Archived 29 November 2014 at the Wayback Machine,1198,31%,37%,9%,13%,3%,7%,6%,11–14 Jan 2013,2013-01-14
10–11 Jan,YouGov/Sunday Times,1995,31%,44%,11%,8%,2%,4%,13%,10–11 Jan 2013,2013-01-11
10–11 Jan,Angus Reid Public Opinion[usurped],2015,27%,42%,10%,11%,3%,6%,15%,10–11 Jan 2013,2013-01-11
8–11 Jan,Opinium/The Observer,1964,31%,41%,7%,12%,2%,9%,10%,8–11 Jan 2013,2013-01-11
9–10 Jan,YouGov/The Sun,1971,31%,42%,11%,10%,2%,"3% BNP on 0%||style=""background:#DC241F; color:white;""|11%",,9–10 Jan 2013,2013-01-10
8–9 Jan,YouGov/The Sun,1980,33%,43%,10%,10%,2%,"2% BNP on 0%||style=""background:#DC241F; color:white;""|10%",,8–9 Jan 2013,2013-01-09
7–8 Jan,YouGov/The Sun,2050,32%,44%,10%,9%,2%,"3% BNP on 1%||style=""background:#DC241F; color:white;""|12%",,7–8 Jan 2013,2013-01-08
6–7 Jan,YouGov/The Sun,1750,32%,41%,11%,9%,2%,"5% BNP on 1%||style=""background:#DC241F; color:white;""|9%",,6–7 Jan 2013,2013-01-07
4–7 Jan,TNS BMRB Archived 27 May 2014 at the Wayback Machine,1221,29%,39%,10%,12%,3%,7%,10%,4–7 Jan 2013,2013-01-07
5 Jan,Survation/Mail on Sunday,790,29%,38%,11%,16%,3%,4%,9%,5 Jan 2013,2013-01-05
3–4 Jan,YouGov/The Sun,1988,32%,43%,10%,9%,2%,"4% BNP on 1%||style=""background:#DC241F; color:white;""|11%",,3–4 Jan 2013,2013-01-04
2–3 Jan,YouGov/The Sun,2005,32%,43%,10%,9%,2%,"4% BNP on 1%||style=""background:#DC241F; color:white;""|11%",,2–3 Jan 2013,2013-01-03
1–2 Jan,YouGov/The Sun,1760,31%,43%,11%,9%,2%,"4% BNP on 0%||style=""background:#DC241F; color:white;""|12%",,1–2 Jan 2013,2013-01-02
Date(s) conducted,Polling organisation/client,Sample size,,,,,,Others,Lead,Date(s) conducted 2012,
21–27 Dec,Opinium/The Observer,1965,29%,39%,8%,15%,4%,5%,10%,21–27 Dec 2012,2012-12-27
19–23 Dec,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][17],1002,32%,40%,13%,7%,3%,5%,8%,19–23 Dec 2012,2012-12-23
20–21 Dec,YouGov/Sunday Times,1661,33%,43%,10%,8%,1%,5%,10%,20–21 Dec 2012,2012-12-21
19–20 Dec,YouGov/The Sun,1923,33%,41%,11%,10%,2%,4% BNP on 1%,8%,19–20 Dec 2012,2012-12-20
18–19 Dec,YouGov/The Sun,1556,30%,43%,11%,10%,2%,4% BNP on 0%,13%,18–19 Dec 2012,2012-12-19
17–18 Dec,YouGov/The Sun,1816,32%,43%,9%,10%,2%,4% BNP on 1%,11%,17–18 Dec 2012,2012-12-18
16–17 Dec,YouGov/The Sun,1633,31%,43%,9%,11%,2%,3% BNP on 1%,12%,16–17 Dec 2012,2012-12-17
13–17 Dec,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1190,30%,43%,7%,12%,4%,4%,13%,13–17 Dec 2012,2012-12-17
15–16 Dec,ComRes/The Independent on Sunday; The Sunday Mirror,2002,28%,39%,9%,14%,4%,6%,11%,15–16 Dec 2012,2012-12-16
14–16 Dec,Populus/The Times,1512,28%,41%,10%,11%,3%,7%,13%,14–16 Dec 2012,2012-12-16
13–14 Dec,YouGov/The Sunday Times,1794,33%,45%,9%,8%,2%,3%,12%,13–14 Dec 2012,2012-12-14
12–13 Dec,YouGov/The Sun,1736,33%,43%,9%,10%,2%,4% BNP on 0%,10%,12–13 Dec 2012,2012-12-13
11–13 Dec,Opinium/The Observer,1968,29%,39%,8%,14%,4%,6%,10%,11–13 Dec 2012,2012-12-13
11–12 Dec,YouGov/The Sun,1805,31%,44%,12%,9%,2%,3% BNP on 0%,13%,11–12 Dec 2012,2012-12-12
10–11 Dec,YouGov/The Sun,1897,31%,43%,10%,9%,2%,4% BNP on 0%,12%,10–11 Dec 2012,2012-12-11
9–10 Dec,YouGov/The Sun,1729,33%,42%,10%,8%,2%,5% BNP on 1%,9%,9–10 Dec 2012,2012-12-10
8–10 Dec,Ipsos MORI/Evening Standard,1023,35%,44%,9%,7%,3%,2%,9%,8–10 Dec 2012,2012-12-10
6–10 Dec,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1171,26%,41%,8%,16%,3%,6%,15%,6–10 Dec 2012,2012-12-10
6–7 Dec,YouGov/The Sunday Times,1779,33%,42%,10%,9%,2%,4%,9%,6–7 Dec 2012,2012-12-07
5–6 Dec,YouGov/The Sun,1899,32%,42%,10%,9%,2%,6% BNP on 1%,10%,5–6 Dec 2012,2012-12-06
4–5 Dec,YouGov/The Sun,1784,32%,44%,9%,10%,2%,3% BNP on 0%,12%,4–5 Dec 2012,2012-12-05
4 Dec,Angus Reid Public Opinion[usurped],2005,28%,42%,10%,11%,3%,6%,14%,4 Dec 2012,2012-12-04
3–4 Dec,YouGov/The Sun,1743,30%,44%,11%,10%,1%,4% BNP on 1%,14%,3–4 Dec 2012,2012-12-04
2–3 Dec,YouGov/The Sun,1584,31%,43%,11%,10%,2%,3% BNP on 1%,12%,2–3 Dec 2012,2012-12-03
29 Nov–3 Dec,TNS BMRB Archived 15 December 2014 at the Wayback Machine,1172,28%,40%,10%,12%,2%,8%,12%,29 Nov–3 Dec 2012,2012-12-03
30 Nov–1 Dec,YouGov/The Sunday Times,1773,31%,44%,10%,10%,2%,4%,13%,30 Nov–1 Dec 2012,2012-12-01
29 Nov,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,2012 Rotherham by-election,29 Nov 2012,2012-11-29
29 Nov,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,2012 Croydon North by-election,29 Nov 2012,2012-11-29
29 Nov,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,2012 Middlesbrough by-election,29 Nov 2012,2012-11-29
28–29 Nov,YouGov/The Sun,1854,32%,42%,10%,10%,2%,5% BNP on 1%,10%,28–29 Nov 2012,2012-11-29
27–29 Nov,Opinium,1949,29%,38%,9%,13%,3%,8%,9%,27–29 Nov 2012,2012-11-29
27–28 Nov,YouGov/The Sun,1842,32%,44%,11%,8%,2%,4% BNP on 1%,12%,27–28 Nov 2012,2012-11-28
26–27 Nov,YouGov/The Sun,1910,31%,43%,9%,11%,2%,5% BNP on 1%,12%,26–27 Nov 2012,2012-11-27
25–26 Nov,YouGov/The Sun,1624,34%,43%,9%,8%,1%,5% BNP on 1%,9%,25–26 Nov 2012,2012-11-26
22–26 Nov,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1212,31%,41%,8%,10%,3%,7%,10%,22–26 Nov 2012,2012-11-26
22–23 Nov,YouGov/The Sunday Times,1812,33%,44%,9%,8%,2%,4%,11%,22–23 Nov 2012,2012-11-23
21–22 Nov,YouGov/The Sun,1808,31%,43%,10%,9%,2%,5% BNP on 1%,12%,21–22 Nov 2012,2012-11-22
20–21 Nov,YouGov/The Sun,1691,33%,41%,9%,10%,3%,4% BNP on 1%,8%,20–21 Nov 2012,2012-11-21
19–20 Nov,YouGov/The Sun,1627,33%,42%,10%,8%,2%,5% BNP on 2%,9%,19–20 Nov 2012,2012-11-20
18–19 Nov,YouGov/The Sun,1552,32%,42%,9%,9%,2%,6% BNP on 2%,10%,18–19 Nov 2012,2012-11-19
16–18 Nov,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][17],1001,32%,40%,13%,7%,2%,6%,8%,16–18 Nov 2012,2012-11-18
15–16 Nov,YouGov/The Sunday Times,1893,33%,44%,9%,8%,2%,4%,11%,15–16 Nov 2012,2012-11-16
14–16 Nov,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1156,31%,39%,11%,7%,4%,8%,8%,14–16 Nov 2012,2012-11-16
15 Nov,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,2012 Corby by-election,15 Nov 2012,2012-11-15
15 Nov,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,2012 Cardiff South and Penarth by-election,15 Nov 2012,2012-11-15
15 Nov,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,2012 Manchester Central by-election,15 Nov 2012,2012-11-15
15 Nov,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,2012 England and Wales police and crime commissioner elections,15 Nov 2012,2012-11-15
14–15 Nov,YouGov/The Sun,1746,33%,43%,8%,9%,2%,4% BNP on 1%,10%,14–15 Nov 2012,2012-11-15
13–14 Nov,YouGov/The Sun,1864,35%,42%,8%,7%,3%,5% BNP on 1%,7%,13–14 Nov 2012,2012-11-14
13 Nov,Opinium,1957,32%,39%,8%,10%,3%,8%,7%,13 Nov 2012,2012-11-13
12–13 Nov,YouGov/The Sun,1828,34%,44%,9%,7%,2%,4% BNP on 1%,10%,12–13 Nov 2012,2012-11-13
10–13 Nov,Ipsos MORI/Evening Standard,1014,32%,46%,9%,3%,4%,6%,14%,10–13 Nov 2012,2012-11-13
11–12 Nov,YouGov/The Sun,1583,35%,39%,10%,8%,2%,6% BNP on 1%,4%,11–12 Nov 2012,2012-11-12
8–12 Nov,TNS BMRB Archived 6 December 2014 at the Wayback Machine,1161,31%,41%,9%,9%,3%,7%,10%,8–12 Nov 2012,2012-11-12
8–9 Nov,YouGov/The Sunday Times,1642,32%,44%,8%,8%,2%,5%,12%,8–9 Nov 2012,2012-11-09
7–8 Nov,YouGov/The Sun,1859,33%,44%,9%,7%,2%,5% BNP on 1%,11%,7–8 Nov 2012,2012-11-08
6–7 Nov,YouGov/The Sun,1873,34%,45%,8%,6%,3%,4% BNP on 1%,11%,6–7 Nov 2012,2012-11-07
5–6 Nov,YouGov/The Sun,1816,35%,42%,9%,7%,2%,5% BNP on 1%,7%,5–6 Nov 2012,2012-11-06
4–5 Nov,YouGov/The Sun,1608,35%,44%,8%,7%,2%,4% BNP on 1%,9%,4–5 Nov 2012,2012-11-05
1–5 Nov,TNS BMRB Archived 27 April 2019 at the Wayback Machine,1194,31%,42%,9%,8%,3%,7%,11%,1–5 Nov 2012,2012-11-05
1–2 Nov,YouGov/The Sunday Times,1851,35%,42%,9%,7%,2%,5%,7%,1–2 Nov 2012,2012-11-02
31 Oct–1 Nov,YouGov/The Sun,1743,33%,44%,9%,7%,3%,4% BNP on 1%,11%,31 Oct–1 Nov 2012,2012-11-01
31 Oct–1 Nov,Opinium,1966,30%,41%,9%,10%,3%,7%,11%,31 Oct–1 Nov 2012,2012-11-01
30–31 Oct,YouGov/The Sun,1824,33%,44%,9%,8%,2%,4% BNP on 1%,11%,30–31 Oct 2012,2012-10-31
29–30 Oct,YouGov/The Sun,1936,32%,44%,9%,8%,2%,5% BNP on 1%,12%,29–30 Oct 2012,2012-10-30
28–29 Oct,YouGov/The Sun,1681,33%,43%,9%,8%,2%,5% BNP on 1%,10%,28–29 Oct 2012,2012-10-29
25–29 Oct,TNS BMRB Archived 16 December 2014 at the Wayback Machine,1164,31%,42%,11%,8%,2%,6%,11%,25–29 Oct 2012,2012-10-29
25–26 Oct,YouGov/The Sunday Times,1858,35%,42%,9%,7%,3%,3%,7%,25–26 Oct 2012,2012-10-26
24–25 Oct,YouGov/The Sun,1785,33%,44%,10%,6%,2%,4% BNP on 1%,11%,24–25 Oct 2012,2012-10-25
23–24 Oct,YouGov/The Sun,1818,33%,43%,9%,8%,2%,5% BNP on 1%,10%,23–24 Oct 2012,2012-10-24
20–24 Oct,Ipsos MORI/Evening Standard,1005,33%,43%,9%,6%,3%,6%,10%,20–24 Oct 2012,2012-10-24
22–23 Oct,YouGov/The Sun,1637,34%,42%,9%,8%,2%,5% BNP on 1%,8%,22–23 Oct 2012,2012-10-23
21–22 Oct,YouGov/The Sun,1666,32%,45%,8%,8%,3%,4% BNP on 1%,13%,21–22 Oct 2012,2012-10-22
19–22 Oct,ICM/The Guardian[permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][permanent dead link‍][17],1000,32%,43%,11%,5%,2%,7%,11%,19–22 Oct 2012,2012-10-22
18–22 Oct,TNS BMRB Archived 16 December 2014 at the Wayback Machine,1154,30%,44%,8%,7%,3%,8%,14%,18–22 Oct 2012,2012-10-22
18–19 Oct,YouGov/The Sunday Times,1734,32%,43%,9%,9%,2%,5%,11%,18–19 Oct 2012,2012-10-19
17–18 Oct,YouGov/The Sun,1830,34%,42%,10%,9%,2%,4% BNP on 1%,8%,17–18 Oct 2012,2012-10-18
16–18 Oct,Opinium,1951,31%,40%,9%,10%,4%,6%,9%,16–18 Oct 2012,2012-10-18
16–17 Oct,YouGov/The Sun,1749,33%,42%,9%,7%,3%,6% BNP on 1%,9%,16–17 Oct 2012,2012-10-17
15–16 Oct,YouGov/The Sun,1766,34%,43%,9%,7%,2%,5% BNP on 1%,9%,15–16 Oct 2012,2012-10-16
14–15 Oct,YouGov/The Sun,1704,34%,43%,9%,7%,3%,5% BNP on 1%,9%,14–15 Oct 2012,2012-10-15
11–12 Oct,Angus Reid Public Opinion[usurped],2009,31%,43%,8%,8%,3%,7%,12%,11–12 Oct 2012,2012-10-12
11–15 Oct,TNS BMRB[permanent dead link‍],1196,29%,42%,7%,10%,4%,8%,13%,11–15 Oct 2012,2012-10-15
11–12 Oct,YouGov/The Sunday Times,1902,33%,43%,10%,6%,2%,5%,10%,11–12 Oct 2012,2012-10-12
10–11 Oct,YouGov/The Sun,1761,35%,42%,8%,7%,2%,6% BNP on 2%,7%,10–11 Oct 2012,2012-10-11
9–10 Oct,YouGov/The Sun,1912,34%,41%,8%,10%,2%,5% BNP on 1%,7%,9–10 Oct 2012,2012-10-10
8–9 Oct,YouGov/The Sun,1899,33%,45%,9%,6%,3%,5% BNP on 2%,12%,8–9 Oct 2012,2012-10-09
7–8 Oct,YouGov/The Sun,1697,34%,44%,8%,7%,2%,5% BNP on 1%,10%,7–8 Oct 2012,2012-10-08
4–5 Oct,YouGov/The Sunday Times,1782,31%,45%,8%,8%,3%,4%,14%,4–5 Oct 2012,2012-10-05
3–4 Oct,YouGov/The Sun,1745,32%,43%,10%,8%,2%,5% BNP on 2%,11%,3–4 Oct 2012,2012-10-04
2–4 Oct,Opinium,1965,30%,41%,9%,11%,4%,5%,11%,2–4 Oct 2012,2012-10-04
2–3 Oct,YouGov/The Sun,1641,31%,45%,10%,7%,2%,5% BNP on 1%,14%,2–3 Oct 2012,2012-10-03
1–2 Oct,YouGov/The Sun,1726,34%,42%,9%,8%,2%,5% BNP on 1%,8%,1–2 Oct 2012,2012-10-02
30 Sep–1 Oct,YouGov/The Sun,1710,34%,43%,9%,7%,7%,7%,9%,30 Sep–1 Oct 2012,2012-10-01
27–28 Sep,YouGov/The Sunday Times,1671,35%,40%,10%,7%,3%,6%,5%,27–28 Sep 2012,2012-09-28
26–27 Sep,YouGov/The Sun,1891,31%,43%,11%,8%,4%,4% BNP on 1%,12%,26–27 Sep 2012,2012-09-27
